source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
normal_MPR,Ciliated,HLA-A,APLP2,0.272512718910216,42435,0.949628161597154,2281,0.00383216557557669,54701,-0.259378031890921,70323
TAM_like_resident_M2 (iron metabolism/anti-inflammatory),normal_MPR,COL1A1,SDC1,0.272512718910216,20308,0.780504297778067,42406,0.0661670608242855,2281,0.870185782912882,16237
TAM_like_lipid (CCL18+/AKR+),TAM_like_stress (HSP-high/M1-like),PTGS2,ALOX5,0.27251835795719,20468.6666666667,0.822273656727961,32817,0.018549786590248,13903,0.91922618208721,14686
CD8.TEMRA,TAM_like_resident_M2 (iron metabolism/anti-inflammatory),HMGB1,CD163,0.272543271263911,19038.3333333333,0.922919113562995,7704,0.00857795519883585,32818,0.859589731505364,16593
TAM_like_lipid (CCL18+/AKR+),TAM_like_SPP1,ZG16B,TLR2,0.272547411293567,29095.8333333333,0.613897793129793,65598.5,0.0287521644511997,8116,0.95574529831514,13573
normal_MPR,TAM_like_SPP1,CXCL14,CXCR4,0.272568186088949,25520.3333333333,0.901502320612974,13055,0.009244211877984,30687,0.495686314146635,32819
tumor_MPR,TAM_like_regulatory (glucocorticoid-responsive),PTDSS1,JMJD6,0.272568186088949,23435.3333333333,0.822259697803205,32819,0.0175080790867745,14831,0.699420716224842,22656
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_lipid (CCL18+/AKR+),CALM2,KCNQ1,0.272618020294162,29921.3333333333,0.840540391027312,28426,0.00998360538257771,28517,0.495663028477496,32821
tumor_MPR,CD8.TEMRA,IGSF11,VSIR,0.272628416234172,31571.6666666667,0.584292044473061,67678,0.0661624871132742,2282,0.65557769805885,24755
TAM_like_regulatory (glucocorticoid-responsive),TAM_like_stress (HSP-high/M1-like),CCL2,CCR5,0.27264293967443,19587.6666666667,0.822249596478452,32822,0.0122731128158396,22720,1.55427704529327,3221
normal_MPR,Ciliated,HLA-A,ERBB2,0.272734033655089,26230,0.899488148067182,13578,0.0247275046266645,9851,0.125117108377623,55261
Ciliated,CD8.EM,COL21A1,ITGA1_ITGB1,0.272734033655089,19960.3333333333,0.775578880579924,43483,0.058344630780878,2820,0.955656208581823,13578
CD8.TPEX,TAM_like_M2 (SIGLEC8+/CCL18+),CCL5,CCRL2,0.272767559354225,19893.3333333333,0.909345956245814,10997,0.0165415396345273,15856,0.495510441839944,32827
Ciliated,TAM_like_lipid (CCL18+/AKR+),CDH1,IGF1R,0.272771364491066,19971.6666666667,0.799208905365481,38277,0.0289024750453213,8059,0.955644613042286,13579
TAM_like_SPP1,TAM_like_MRC1,HSP90B1,LRP1,0.272817417856954,18546,0.926332286200511,6897,0.00857527222786798,32829,0.880853086393672,15912
TAM_like_M2 (SIGLEC8+/CCL18+),tumor_MPR,TOR2A,ATP5F1B,0.272842349386534,30199.3333333333,0.851360246940466,25833,0.00884824226285981,31935,0.495399524764326,32830
TAM_like_MRC1,CD8.TEMRA,HLA-C,CD8B,0.272867282434987,17082.6666666667,0.948644960627992,2421,0.0163962733021128,15996,0.495395731235671,32831
