source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
Ciliated,SPP1+ immunosuppressive,MT-RNR2,FPR3,0.176445744478957,0,0.199898480143136,0,Both
Ciliated,MRC1+ M2-like,PPIA,BSG,0.0710729819009531,0,0.0708434137572885,0,Both
Ciliated,IFN-stimulated,TUB,MERTK,0.00104987317699303,0,6.75779783066572e-05,0,Both
Ciliated,M2-SIGLEC8+,TUB,MERTK,0.00241944363134725,0,0.000341073961432433,0,Both
Ciliated,Resident M2,TUB,MERTK,0.00133033780919858,0,0.000437150037338333,0,Both
Ciliated,SPP1+ immunosuppressive,TUB,MERTK,0.00115233153969915,0,0.000446099963329504,0,Both
Ciliated,IFN-stimulated,PROS1,MERTK,0.00467768758458785,0,0.000978957125100879,0,Both
Ciliated,M2-SIGLEC8+,PROS1,MERTK,0.0107289512248525,0,0.00492275253052224,0,Both
Ciliated,Resident M2,PROS1,MERTK,0.00592154694452091,0,0.00630129234475542,0,Both
Ciliated,SPP1+ immunosuppressive,PROS1,MERTK,0.00513236965025821,0,0.00642952865426588,0,Both
IFN-stimulated,Ciliated,FN1,ITGA3_ITGB1,0.0167335173830008,0,0.0242432585862984,0,Both
MRC1+ M2-like,Ciliated,FN1,ITGA3_ITGB1,0.0401627950303478,0,0.0256698183542867,0,Both
MRC1+ M2-like,Ciliated,THBS1,ITGA3_ITGB1,0.00126822741680275,0,0.00432482523292004,0,Both
Ciliated,MRC1+ M2-like,LAMB3,ITGA6_ITGB1,0.00197507911292381,0,0.00336168731318813,0,Both
Ciliated,MRC1+ M2-like,LAMC2,ITGA6_ITGB1,0.0121206264367692,0,0.0165306387252485,0,Both
IFN-stimulated,Ciliated,FN1,ITGAV_ITGB1,0.0139003166079841,0,0.00974893142432105,0,Both
MRC1+ M2-like,Ciliated,FN1,ITGAV_ITGB1,0.0334978581163076,0,0.010331624061756,0,Both
IFN-stimulated,Ciliated,FN1,ITGAV_ITGB8,0.0107363845340736,0,0.0053457199564076,0,Both
MRC1+ M2-like,Ciliated,FN1,ITGAV_ITGB8,0.0259907870692955,0,0.0056667391452401,0,Both
Ciliated,IFN-stimulated,LAMB3,CD44,0.0104224496756281,0,0.00964966756089536,0,Both
Ciliated,M2-SIGLEC8+,LAMB3,CD44,0.00708876602413478,0,0.00896652593314804,0,Both
Ciliated,MRC1+ M2-like,LAMB3,CD44,0.0118278177892125,0,0.00746110965069819,0,Both
Ciliated,Resident M2,LAMB3,CD44,0.0121618630858725,0,0.0104884865896902,0,Both
