source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
MRC1+ M2-like,CD8.TEX,LYZ,ITGAL,0.209090909090909,3.57443389046437,3.30916738243369,3,9,1
Resident M2,CD8.TEX,B2M,CD3D,0.516666666666667,8.87440211667754,7.86690436667347,3,7,1
Regulatory,CD8.TPEX,HLA-DQA1,LAG3,0.644461295362125,0,1.32031227590919,3,7,1
IFN-stimulated,CD8.TPEX,COPA,NTRK1,0.808239426233384,0,0,3,9,1
MRC1+ M2-like,CD8.TEX,B2M,CD3G,0.6,9.34861154671069,9.65576865268851,3,9,1
CD8.TPEX,Ciliated,HLA-A,ERBB2,0.230243350577407,1.4195390966855,0.785584550885073,3,5,1
IFN-stimulated,CD8.TEX,HLA-C,CD3D,0.727272727272727,6.97942241911384,6.59821626235103,3,9,1
CD8.TPEX,SPP1+ immunosuppressive,HMGB1,CD163,0.516666666666667,3.29389488791525,3.71789091083593,3,7,1
Regulatory,CD8.TPEX,COPA,NTRK1,1,0,0,3,7,1
SPP1+ immunosuppressive,CD8.TEX,CD14,ITGB1,0.833333333333333,3.43856909763348,3.59486133624086,3,7,1
IFN-stimulated,CD8.TPEX,CD48,CD2,0.481818181818182,2.78518187613829,2.01020054721837,3,9,1
IFN-stimulated,CD8.TEX,HLA-C,CD3G,0.863636363636364,7.93331780639671,7.96891811190582,3,9,1
MRC1+ M2-like,CD8.TEX,MRC1,PTPRC,0.281818181818182,6.28188077909399,5.47830163808432,3,9,1
Regulatory,CD8.TEX,LYZ,ITGAL,0.833333333333333,3.1570339863518,3.63330206446687,3,7,1
Regulatory,CD8.TPEX,CD86,CTLA4,0.170160003077018,0,0.795342950898667,3,7,1
IFN-stimulated,CD8.TPEX,HLA-DRB1,LAG3,0.576420822910323,0,3.84646422208947,3,9,1
Resident M2,CD8.TPEX,MMP9,IFNAR1,0.410476778864909,0.430027032609275,0.0401550453894382,3,7,1
CD8.TPEX,IFN-stimulated,COL6A3,CD44,0.429829306052495,0,0.193891106153863,3,9,1
CD8.TEX,SPP1+ immunosuppressive,IFNG,IFNGR1_IFNGR2,0.833333333333333,1.02626329388187,0.976546400489466,3,7,1
IFN-stimulated,CD8.TEX,HLA-A,CD3D,0.481818181818182,6.86716552280199,6.35550521240054,3,9,1
SPP1+ immunosuppressive,CD8.TEX,B2M,CD3G,0.833333333333333,9.08914605273825,9.06951639848907,3,7,1
Regulatory,CD8.TPEX,HLA-DRB5,LAG3,0.465758969401827,0,0.00452325845471827,3,7,1
IFN-stimulated,CD8.TEX,CXCL11,CXCR3,0.281818181818182,0.262235651438835,0.184708996696802,3,9,1
CD8.TEX,IFN-stimulated,HLA-A,LILRB1,0.727272727272727,5.22296621364585,3.7289493294927,3,9,1
CD8.TEX,Resident M2,CSF1,SIRPA,0.516666666666667,0.875342535251315,0.858734628843384,3,7,1
Regulatory,CD8.TEX,HBEGF,CD82,0.516666666666667,1.369541424946,0.554301628078636,3,7,1
IFN-stimulated,CD8.TEX,HLA-A,CD3G,0.863636363636364,7.80571847497313,7.71673285174391,3,9,1
IFN-stimulated,CD8.TEX,LGALS1,CD69,0.481818181818182,3.60795981746597,3.03183558185695,3,9,1
CD8.TEX,SPP1+ immunosuppressive,HMGB1,CD163,0.183333333333333,2.3681876958182,3.71258722352389,3,7,1
MRC1+ M2-like,CD8.TEX,B2M,CD3D,0.727272727272727,8.69719245976402,7.7558414222861,3,9,1
CD8.TPEX,IFN-stimulated,B2M,LILRB2,0.145454545454545,5.27877716672305,4.1049495560112,3,9,1
CD8.TPEX,Ciliated,CRTAM,CADM1,0.171857339062799,0.292126199785126,0,3,5,1
Ciliated,CD8.TPEX,CADM1,CRTAM,0.171857339062799,0.292126199785126,0,3,5,1
SPP1+ immunosuppressive,CD8.TEX,ICAM1,IL2RG,0.666666666666667,3.11949965831265,2.38018862230775,3,7,1
MRC1+ M2-like,CD8.TEX,FN1,ITGA4_ITGB1,0.6,1.14199029894361,1.08124043345003,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,ICAM1,IL2RG,0.383333333333333,3.49759390958688,2.38977572012196,3,7,1
Ciliated,CD8.TPEX,TFF3,CXCR4,0.880791022511061,0.851206220808576,1.25216940030957,3,5,1
CD8.TPEX,Ciliated,CCL5,GRM7,0.266236376195818,0.143478680891141,0,3,5,1
IFN-stimulated,CD8.TPEX,HLA-E,CD8A,0.372727272727273,8.81294495509099,7.42111581038505,3,9,1
CD8.TEX,IFN-stimulated,HLA-B,LILRB1,0.863636363636364,4.61370940668581,3.4529421050995,3,9,1
Resident M2,CD8.TEX,MMP9,IFNAR1,0.109530971677927,0.34434308758413,0.0611473003468811,3,7,1
IFN-stimulated,CD8.TEX,HLA-B,CD3D,0.863636363636364,6.46880487805574,6.32203950248377,3,9,1
Resident M2,CD8.TEX,ICAM1,IL2RG,0.666666666666667,2.35501664819889,1.7450364848416,3,7,1
CD8.TPEX,IFN-stimulated,HLA-B,LILRB1,0.863636363636364,4.31430671912377,3.3593109500705,3,9,1
SPP1+ immunosuppressive,CD8.TEX,CD14,ITGA4,0.0666666666666667,1.68294873896761,1.0896907731204,3,7,1
Resident M2,CD8.TPEX,ICAM1,IL2RG,0.383333333333333,2.32807511727919,1.41815216815456,3,7,1
CD8.TEX,Resident M2,FASLG,TNFRSF1A,0.908994045880185,0.35485728750734,0.304456535257511,3,7,1
IFN-stimulated,CD8.TEX,HLA-B,CD3G,0.481818181818182,7.2974212016715,7.33362901442596,3,9,1
CD8.TPEX,Regulatory,SEMA7A,PLXNC1,0.556601865707367,0.461417114386796,0.202424559716478,3,7,1
Regulatory,CD8.TEX,GNAI2,F2R,0.666666666666667,1.08903317760391,1.05309677999183,3,7,1
Resident M2,CD8.TPEX,B2M,CD3D,0.423622490369026,8.82512340062723,6.24491782902121,3,7,1
Ciliated,CD8.TPEX,PCSK1N,GPR171,0.880791022511061,0.791729511797061,0.437342845797689,3,5,1
CD8.TEX,IFN-stimulated,B2M,LILRB1,0.727272727272727,6.23669268472789,4.39650362749115,3,9,1
SPP1+ immunosuppressive,CD8.TEX,B2M,CD3D,0.183333333333333,7.9962748599245,7.2536313619165,3,7,1
Ciliated,CD8.TPEX,HLA-A,CD8A,0.25,9.75974183334242,7.44283100231361,3,5,1
SPP1+ immunosuppressive,CD8.TEX,ICAM1,SPN,1,1.3557991283496,1.14886094197342,3,7,1
MRC1+ M2-like,CD8.TPEX,MRC1,PTPRC,0.372727272727273,7.71584128467426,6.07651003620483,3,9,1
CD8.TEX,IFN-stimulated,HLA-C,LILRB1,0.727272727272727,4.88578583631746,3.66823854474891,3,9,1
CD8.TEX,Resident M2,CD52,SIGLEC10,0.3035889878769,0.829014195874325,2.44667801056667,3,7,1
CD8.TPEX,MRC1+ M2-like,CCL4,CCR1,0.209090909090909,2.34110866996392,3.34908261603005,3,9,1
IFN-stimulated,CD8.TPEX,HLA-C,CD3D,0.404557863119207,7.89658072171479,4.88609319649375,3,9,1
CD8.TEX,Ciliated,HLA-A,ERBB2,0.230243350577407,1.29091270678258,0.800386384356648,3,5,1
IFN-stimulated,CD8.TPEX,LYZ,ITGAL,0.0363636363636364,6.64947699807865,2.77453997419184,3,9,1
Ciliated,CD8.TPEX,HLA-C,CD8A,0.25,11.0212695726232,7.61488823654238,3,5,1
CD8.TEX,MRC1+ M2-like,CSF1,SIRPA,0.6,0.666631320605164,0.748129382464427,3,9,1
CD8.TEX,IFN-stimulated,CSF1,SIRPA,0.481818181818182,0.821493600537093,0.942747242090741,3,9,1
Resident M2,CD8.TEX,HLA-DQB1,LAG3,0.383333333333333,2.04782256736775,2.21865786096414,3,7,1
Ciliated,CD8.TEX,CDH1,ITGAE_ITGB7,0.142857142857143,0.667418653511094,0.396982886588286,3,5,1
MRC1+ M2-like,CD8.TEX,CD59,CD2,0.863636363636364,3.02992952096,2.60721731744326,3,9,1
Regulatory,CD8.TEX,B2M,CD3G,0.516666666666667,8.77691298731032,8.61300170168004,3,7,1
Resident M2,CD8.TEX,ICAM1,SPN,0.516666666666667,1.17100786917371,0.72669113646588,3,7,1
IFN-stimulated,CD8.TPEX,LGALS1,CD69,0.727272727272727,2.09009999660099,2.77431541809124,3,9,1
MRC1+ M2-like,CD8.TPEX,CD86,CTLA4,0.263891390522455,0,0.686665129114962,3,9,1
CD8.TPEX,MRC1+ M2-like,HLA-A,APLP2,0.863636363636364,8.58555301248298,8.56630226244698,3,9,1
IFN-stimulated,CD8.TPEX,HLA-A,CD3D,0.404557863119207,7.53156499785553,4.64008510315348,3,9,1
CD8.TPEX,Regulatory,HMGB1,THBD,0.731656788769528,0.218605843664062,0.692032341793119,3,7,1
CD8.TPEX,Regulatory,HLA-A,LILRB2,0.183333333333333,4.29755721998197,3.386706452533,3,7,1
CD8.TEX,Ciliated,CALM1,MYLK,0.142857142857143,1.09759777494217,0.564981580919504,3,5,1
Ciliated,CD8.TPEX,AIMP1,NTRK1,0.329113985978608,0,0,3,5,1
MRC1+ M2-like,CD8.TPEX,B2M,CD3D,0.404557863119207,8.7686920595349,6.12221839413408,3,9,1
Ciliated,CD8.TEX,COL28A1,ITGA1_ITGB1,0.785714285714286,0.673210786167242,0.598228647001558,3,5,1
CD8.TEX,MRC1+ M2-like,B2M,TFRC,0.481818181818182,7.47845773266015,6.75445247464194,3,9,1
CD8.TEX,Ciliated,SEMA4D,PLXNB2,0.571428571428571,0.6052588478499,0.488004043179205,3,5,1
IFN-stimulated,CD8.TPEX,ICAM1,SPN,0.727272727272727,1.0593869865024,0.820539036895092,3,9,1
CD8.TPEX,Ciliated,SEMA4D,PLXNB2,0.785714285714286,0.497848014287766,0.977199316280232,3,5,1
CD8.TPEX,SPP1+ immunosuppressive,HSPA8,ADRB2,0.0186935976915526,0.805764016194731,0,3,7,1
Regulatory,CD8.TEX,CD86,CTLA4,0.666666666666667,0.659607739909928,0.851918758597083,3,7,1
CD8.TEX,MRC1+ M2-like,HLA-A,APLP2,0.281818181818182,7.98465948688899,9.12642740116837,3,9,1
CD8.TEX,Regulatory,HMGB1,THBD,1,1.54136149503362,1.42330060254376,3,7,1
CD8.TPEX,MRC1+ M2-like,IFNG,IFNGR1_IFNGR2,0.64332106041747,0.939265949310052,1.06114623564821,3,9,1
CD8.TEX,Ciliated,S100A4,ERBB3,0.880791022511061,1.56815446137904,0.753627456746758,3,5,1
CD8.TPEX,Regulatory,HLA-C,LILRB2,0.266666666666667,3.80726396379853,2.97477904164932,3,7,1
SPP1+ immunosuppressive,CD8.TEX,CCL13,CXCR3,0.731656788769528,0.0604915034859174,0.189989623653151,3,7,1
IFN-stimulated,CD8.TPEX,HLA-B,CD3D,0.516800901648696,6.84474256165804,4.43684298216041,3,9,1
Resident M2,CD8.TEX,HLA-E,CD8A,0.833333333333333,8.32751750884359,9.11904646306925,3,7,1
Regulatory,CD8.TEX,LGALS1,PTPRC,0.383333333333333,5.77230527112793,5.12467269745104,3,7,1
Ciliated,CD8.TPEX,INHBB,SMAD3,0.305507086861254,0.164605410896942,0,3,5,1
Ciliated,CD8.TEX,HLA-B,CD8A,0.571428571428571,8.89006392470616,8.6377263639342,3,5,1
CD8.TPEX,Regulatory,CD200,CD200R1,0.662520583540058,0,0,3,7,1
Regulatory,CD8.TPEX,CD200R1,CD200,0.662520583540058,0,0,3,7,1
CD8.TPEX,MRC1+ M2-like,B2M,TFRC,0.481818181818182,7.34778713992065,6.6648812357167,3,9,1
Regulatory,CD8.TPEX,ICOSLG,CTLA4,0.480514297908541,0,0.128333186987979,3,7,1
Regulatory,CD8.TEX,B2M,CD3D,0.383333333333333,8.50726597439325,7.43406103243198,3,7,1
CD8.TEX,IFN-stimulated,HLA-F,LILRB1,1,1.36814217680047,1.37234340747771,3,9,1
CD8.TPEX,IFN-stimulated,SEMA7A,PLXNC1,0.777690598193744,0.305042377359493,0.208819145991446,3,9,1
CD8.TEX,Resident M2,HLA-B,CANX,1,8.24265435774979,7.76412779895784,3,7,1
CD8.TPEX,Resident M2,CD52,SIGLEC10,0.3035889878769,0.910891422559967,0.989392110185361,3,7,1
CD8.TPEX,Regulatory,TIGIT,NECTIN2,0.492810896842702,0,0.714083668788888,3,7,1
Regulatory,CD8.TPEX,NECTIN2,TIGIT,0.492810896842702,0,0.714083668788888,3,7,1
Ciliated,CD8.TEX,ALCAM,CD6,0.392857142857143,0.74067304766725,0.51945901663299,3,5,1
IFN-stimulated,CD8.TEX,HLA-F,CD8A,0.863636363636364,4.04255013427897,3.87296403414318,3,9,1
CD8.TPEX,IFN-stimulated,B2M,LILRB1,0.727272727272727,6.2211683194874,4.16513957827823,3,9,1
CD8.TPEX,Resident M2,HLA-B,CANX,0.833333333333333,8.26302947810379,7.76190001371847,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,B2M,CD3D,0.516666666666667,8.69861745798129,5.96081095135213,3,7,1
Regulatory,CD8.TEX,MRC1,PTPRC,0.666666666666667,5.51345292733069,4.37931605779419,3,7,1
CD8.TEX,Resident M2,CCL5,SDC4,0.183333333333333,2.49293981513888,1.73729412427328,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-E,CD8B,0.833333333333333,2.86037005988409,2.54312958239277,3,7,1
MRC1+ M2-like,CD8.TEX,CD58,CD2,0.863636363636364,0.609600723876774,0.777752498732832,3,9,1
CD8.TEX,Regulatory,B2M,CD1C,0.224113954008856,0.684486140845101,0,3,7,1
SPP1+ immunosuppressive,CD8.TEX,SECTM1,CD7,0.833333333333333,0.508138685623991,0.583051007096268,3,7,1
IFN-stimulated,CD8.TEX,CXCL16,CXCR6,0.863636363636364,1.34350733173384,1.31862807419096,3,9,1
Regulatory,CD8.TEX,ICAM1,IL2RG,0.0333333333333333,2.07372552789002,1.16586480358955,3,7,1
SPP1+ immunosuppressive,CD8.TEX,CXCL16,CXCR6,0.383333333333333,1.27665922802611,1.23187049128298,3,7,1
MRC1+ M2-like,CD8.TPEX,CXCL16,CXCR6,0.565172486044795,0.783666742231834,0.397485875767877,3,9,1
CD8.TPEX,Resident M2,FASLG,TNFRSF1A,0.488808409149915,0,0.345151234282776,3,7,1
SPP1+ immunosuppressive,CD8.TEX,MRC1,PTPRC,1,5.29746085026925,5.65516094832207,3,7,1
Regulatory,CD8.TPEX,ICAM1,IL2RG,0.0333333333333333,2.61320037754242,0.841729975155194,3,7,1
MRC1+ M2-like,CD8.TPEX,FN1,ITGA4_ITGB1,0.926211743590331,1.02990943443499,0.792782252797712,3,9,1
CD8.TEX,Regulatory,TIGIT,NECTIN2,0.833333333333333,0.420437871784259,0.695361228404822,3,7,1
Regulatory,CD8.TEX,NECTIN2,TIGIT,0.833333333333333,0.420437871784259,0.695361228404822,3,7,1
CD8.TPEX,Regulatory,B2M,CD1C,0.224113954008856,0.655381901929948,0,3,7,1
IFN-stimulated,CD8.TPEX,CXCL10,CXCR3,0.337747118933668,0.61121672464373,0.30603802991631,3,9,1
Ciliated,CD8.TPEX,COPA,NTRK1,0.329113985978608,0,0,3,5,1
SPP1+ immunosuppressive,CD8.TEX,HLA-F,CD8A,0.266666666666667,4.62476984267873,2.39208638816248,3,7,1
CD8.TEX,Regulatory,HLA-A,LILRB2,0.383333333333333,4.07687758368857,3.42910371253733,3,7,1
SPP1+ immunosuppressive,CD8.TEX,CD14,ITGB2,0.383333333333333,2.83490154544117,2.60019010723298,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-E,CD8A,0.209090909090909,7.8453849245492,8.26476485320118,3,9,1
IFN-stimulated,CD8.TPEX,CD14,ITGA4,0.576420822910323,1.13965254848972,0.442558363461251,3,9,1
CD8.TEX,Ciliated,CALM1,INSR,0.0357700822324908,1.6822138019673,0.824568577399906,3,5,1
Regulatory,CD8.TEX,VCAN,ITGB1,0.0666666666666667,0.68731672259595,2.01522827805572,3,7,1
CD8.TEX,Regulatory,CSF1,SIRPA,0.516666666666667,0.663987200840245,0.877409489930756,3,7,1
Resident M2,CD8.TPEX,CD48,CD2,0.266666666666667,2.38188533285299,1.80361626050197,3,7,1
Regulatory,CD8.TEX,NECTIN2,CD96,0.833333333333333,0.553719165891257,0.732551478621288,3,7,1
SPP1+ immunosuppressive,CD8.TEX,CD59,CD2,0.516666666666667,2.85745058881154,2.35066255658451,3,7,1
CD8.TEX,SPP1+ immunosuppressive,IL16,CD4,0.516666666666667,0.734462407532495,0.570546289744374,3,7,1
CD8.TEX,Ciliated,GNAI2,IGF1R,0.652782845261911,0.671806493715107,0.410444623496224,3,5,1
IFN-stimulated,CD8.TEX,CD274,PDCD1,0.727272727272727,0.626826237796463,0.470025886917309,3,9,1
MRC1+ M2-like,CD8.TEX,HLA-DQB2,LAG3,0.0902692531325873,0.130246266832412,0.00386806690621501,3,9,1
MRC1+ M2-like,CD8.TPEX,LYZ,ITGAL,0.0363636363636364,6.09116472135567,2.34030687247859,3,9,1
Resident M2,CD8.TPEX,HLA-DQB1,LAG3,0.109530971677927,0,3.41921417075348,3,7,1
Regulatory,CD8.TEX,GNAI2,CXCR3,0.833333333333333,1.02487975505919,1.13125561392106,3,7,1
CD8.TEX,MRC1+ M2-like,CCL4,CCR1,0.481818181818182,2.231803382818,2.37742871729182,3,9,1
CD8.TEX,Regulatory,HLA-B,LILRB2,0.516666666666667,3.67809532911587,3.16546070609829,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,SECTM1,CD7,0.666666666666667,0.427398773608885,0.442581956302603,3,7,1
Regulatory,CD8.TEX,HLA-E,CD8A,1,7.80463689248916,7.63440716472641,3,7,1
CD8.TPEX,Regulatory,HLA-B,LILRB2,0.516666666666667,3.43940850912437,3.10847970842017,3,7,1
CD8.TEX,IFN-stimulated,GZMB,IGF2R,0.481818181818182,1.14588359505612,1.75208342672253,3,9,1
CD8.TEX,Resident M2,SEMA7A,PLXNC1,0.383333333333333,0.324598389382028,0.263979593899685,3,7,1
Resident M2,CD8.TEX,HLA-F,CD8A,1,3.86207110765606,3.82064972794477,3,7,1
MRC1+ M2-like,CD8.TPEX,COPA,NTRK1,0.808239426233384,0,0,3,9,1
Regulatory,CD8.TPEX,LYZ,ITGAL,0.0333333333333333,5.37987682275714,2.47014854727961,3,7,1
Resident M2,CD8.TEX,B2M,KLRD1,0.516666666666667,3.97490461254947,5.62310965608137,3,7,1
Regulatory,CD8.TPEX,LGALS1,PTPRC,0.383333333333333,7.08994533403662,5.89491091220761,3,7,1
MRC1+ M2-like,CD8.TPEX,HBEGF,CD82,0.709584935745479,1.14176475755722,0.878727778190115,3,9,1
CD8.TEX,Regulatory,B2M,LILRB2,0.383333333333333,4.91615624172137,3.98866996400301,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-C,CD3G,1,7.81332446659165,8.0025733935913,3,9,1
CD8.TPEX,Resident M2,CCL4,CCR1,0.908994045880185,1.64627492059861,1.62588961025722,3,7,1
CD8.TEX,Ciliated,GNAI2,LPAR3,1,0.640441097745976,0.335655125298132,3,5,1
IFN-stimulated,CD8.TEX,HLA-B,KLRD1,0.727272727272727,2.49037858540863,4.40963830210995,3,9,1
Regulatory,CD8.TEX,CCL2,CCR5,0.908994045880185,0.781391165128262,0.651587383048292,3,7,1
Regulatory,CD8.TPEX,B2M,CD3D,0.423622490369026,8.23245749751318,5.90131748393139,3,7,1
CD8.TEX,SPP1+ immunosuppressive,HLA-B,CANX,0.266666666666667,7.48621182274663,6.36975667255366,3,7,1
CD8.TEX,Regulatory,HLA-C,LILRB2,0.266666666666667,3.89499738270869,3.14283041565992,3,7,1
IFN-stimulated,CD8.TPEX,CXCL11,CXCR3,0.92502181616555,0.0716401617168894,0.0817565876476784,3,9,1
CD8.TPEX,SPP1+ immunosuppressive,HLA-B,CANX,0.116666666666667,7.61321935856594,6.30521950458521,3,7,1
Regulatory,CD8.TPEX,AIMP1,NTRK1,1,0,0,3,7,1
Regulatory,CD8.TPEX,MRC1,PTPRC,0.383333333333333,6.13508951796937,4.84937583942839,3,7,1
CD8.TEX,Resident M2,IL16,CD4,0.516666666666667,0.84856840148116,0.539721689066027,3,7,1
CD8.TPEX,SPP1+ immunosuppressive,IFNG,IFNGR1_IFNGR2,0.56763538459492,1.25453932293156,1.27363881617732,3,7,1
IFN-stimulated,CD8.TPEX,AIMP1,NTRK1,1,0,0,3,9,1
CD8.TEX,MRC1+ M2-like,CIRBP,TREM1,0.209090909090909,0.899793868133327,0.553615803963108,3,9,1
Regulatory,CD8.TPEX,ICOSLG,ICOS,0.170160003077018,0.391561468483669,0.0889014946354259,3,7,1
Resident M2,CD8.TEX,HLA-C,CD3G,0.833333333333333,7.86012224724804,7.74503632058752,3,7,1
SPP1+ immunosuppressive,CD8.TEX,LYZ,ITGAL,1,3.00914580929585,2.70902770223999,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-DQB2,LAG3,1,0,0,3,9,1
Resident M2,CD8.TEX,HLA-A,CD3D,0.666666666666667,7.18788756216337,6.85762706826705,3,7,1
Ciliated,CD8.TEX,B2M,CD3G,0.571428571428571,8.50283809165931,8.88702136046656,3,5,1
SPP1+ immunosuppressive,CD8.TPEX,MRC1,PTPRC,0.833333333333333,5.85803215506649,6.22153188512867,3,7,1
MRC1+ M2-like,CD8.TEX,CD86,CTLA4,0.209090909090909,0.565582950237811,0.79907368983686,3,9,1
Resident M2,CD8.TEX,HLA-A,CD3G,0.833333333333333,7.70479828248652,7.85691593587008,3,7,1
Resident M2,CD8.TEX,LGALS3,LAG3,0.516666666666667,2.31104536678679,1.68355487225434,3,7,1
Regulatory,CD8.TEX,GNAI2,CCR5,1,1.22676969683495,1.24020141500187,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-F,CD8A,0.727272727272727,3.00827817444723,2.99803534404911,3,9,1
MRC1+ M2-like,CD8.TPEX,GRN,TNFRSF1B,0.266419874644755,0,3.72101166866183,3,9,1
Resident M2,CD8.TEX,CD58,CD2,0.383333333333333,1.24522784577555,0.550991877884824,3,7,1
CD8.TPEX,Resident M2,CSF1,SIRPA,0.330787406070816,0.496401011549868,0,3,7,1
Regulatory,CD8.TPEX,NECTIN2,CD96,0.516666666666667,1.26343050789173,0.696567886342017,3,7,1
Resident M2,CD8.TPEX,HLA-E,CD8A,0.183333333333333,8.78601993557027,6.80767225462969,3,7,1
Ciliated,CD8.TEX,LGALS3,LAG3,1,1.5660778076575,1.85743153111363,3,5,1
Ciliated,CD8.TPEX,HLA-B,CD8A,0.25,9.85192281373144,7.17782621214749,3,5,1
Resident M2,CD8.TPEX,GPI,NTRK1,0.515304698967525,0,0,3,7,1
CD8.TEX,MRC1+ M2-like,SPN,SIGLEC1,0.727272727272727,0.772987092977333,0.677045481234092,3,9,1
CD8.TEX,Regulatory,CCL5,CCRL2,0.492810896842702,1.2500638671156,1.50794395212535,3,7,1
Resident M2,CD8.TPEX,CD14,ITGA4,0.817520602641764,0.906905595935439,0.634568597437634,3,7,1
CD8.TPEX,Resident M2,CCL5,CCRL2,0.731656788769528,1.61710882887229,1.26679120914767,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,CD14,ITGB1,0.253007497819893,0,2.23938543591941,3,7,1
MRC1+ M2-like,CD8.TEX,SECTM1,CD7,1,0.400214913707656,0.499952160031816,3,9,1
IFN-stimulated,CD8.TEX,HLA-E,CD8B,1,2.60602666895403,2.49246367196157,3,9,1
IFN-stimulated,CD8.TEX,CD14,ITGA4,0.372727272727273,0.827420059509595,0.812640090907821,3,9,1
IFN-stimulated,CD8.TEX,HLA-DQB1,LAG3,0.727272727272727,2.02049760164296,1.96906983414171,3,9,1
MRC1+ M2-like,CD8.TPEX,AIMP1,NTRK1,1,0,0,3,9,1
IFN-stimulated,CD8.TEX,HLA-C,CD8B,0.863636363636364,3.6007452408629,3.5261474170799,3,9,1
CD8.TEX,IFN-stimulated,HLA-B,CANX,0.372727272727273,7.71359611135822,7.0055984588121,3,9,1
MRC1+ M2-like,CD8.TEX,LGALS9,PTPRC,0.1,4.63001737713553,3.92325819923693,3,9,1
IFN-stimulated,CD8.TEX,GNAI2,F2R,1,0.954402075318011,1.0589261851456,3,9,1
CD8.TPEX,SPP1+ immunosuppressive,TNFSF14,TNFRSF14,0.106279144966816,1.18701791553593,0.11116568313455,3,7,1
CD8.TPEX,IFN-stimulated,HLA-B,CANX,0.372727272727273,7.72703682205063,6.71902386504813,3,9,1
MRC1+ M2-like,CD8.TEX,HLA-C,CD3D,0.6,7.57878015509802,6.91319887906955,3,9,1
Regulatory,CD8.TEX,HLA-DRB3,LAG3,1,1.09903304139627,0.596323163380982,3,7,1
IFN-stimulated,CD8.TEX,HLA-B,CD8B,0.6,3.3373131729269,3.45030045569374,3,9,1
CD8.TPEX,IFN-stimulated,HLA-F,LILRB1,0.516800901648696,1.47515468856534,0.79848863303587,3,9,1
Regulatory,CD8.TPEX,GPI,NTRK1,1,0,0,3,7,1
CD8.TEX,Regulatory,SPN,SIGLEC1,1,0.787884442398112,0.923849520520235,3,7,1
IFN-stimulated,CD8.TPEX,GPI,NTRK1,0.808239426233384,0,0,3,9,1
CD8.TEX,Ciliated,GZMA,F2RL1,1,0.173623017978099,0.102854142524776,3,5,1
SPP1+ immunosuppressive,CD8.TEX,ITGB2,CD226,0.666666666666667,1.02457368590102,0.786772396927126,3,7,1
CD8.TPEX,Ciliated,CALM1,MYLK,0.571428571428571,0.867319104847803,0.689498702855997,3,5,1
SPP1+ immunosuppressive,CD8.TPEX,CCL13,CXCR3,0.906401030936753,0.0400275739184808,0.0462588856423815,3,7,1
Resident M2,CD8.TEX,HLA-A,CD8B,0.833333333333333,3.4970256359959,3.79734583338357,3,7,1
Resident M2,CD8.TEX,HLA-B,CD8B,0.516666666666667,3.32850284316004,3.64546735040751,3,7,1
Resident M2,CD8.TPEX,S100A8,CD69,0.253007497819893,0,0.811203451430519,3,7,1
IFN-stimulated,CD8.TEX,HLA-A,CD8B,0.863636363636364,3.54283092347728,3.60331529642745,3,9,1
Regulatory,CD8.TEX,HLA-B,CD8B,0.383333333333333,3.12340463480303,3.52471495254823,3,7,1
Resident M2,CD8.TEX,HLA-C,CD8B,0.383333333333333,3.82952569973111,3.958004750965,3,7,1
Regulatory,CD8.TEX,HLA-F,CD8A,0.666666666666667,3.29651258810377,3.1042363485864,3,7,1
Regulatory,CD8.TEX,HLA-A,CD8B,0.516666666666667,3.23118104943693,3.93047560297359,3,7,1
Regulatory,CD8.TEX,HLA-C,CD8B,0.516666666666667,3.42428799849736,3.82867395984393,3,7,1
Resident M2,CD8.TPEX,HLA-F,CD8A,0.666666666666667,3.54998924863161,3.38277123661637,3,7,1
Resident M2,CD8.TEX,HLA-B,CD3G,0.516666666666667,6.83172183042396,7.11567698091602,3,7,1
Resident M2,CD8.TEX,HLA-B,CD3D,1,6.45172757628032,6.29235051837893,3,7,1
Regulatory,CD8.TEX,HLA-B,CD3G,0.666666666666667,6.48815033347253,6.55995969237205,3,7,1
Regulatory,CD8.TEX,HLA-B,CD3D,1,6.05418014157651,6.00420635158837,3,7,1
Ciliated,CD8.TEX,COL21A1,ITGA1_ITGB1,0.571428571428571,0.328680097413068,0.259142262849205,3,5,1
SPP1+ immunosuppressive,CD8.TEX,CCL13,CCR5,0.908994045880185,0.0724076585825656,0.530060131943844,3,7,1
IFN-stimulated,CD8.TPEX,HLA-DQB1,LAG3,0.136315138918192,0,2.4913478926475,3,9,1
Resident M2,CD8.TEX,HLA-C,CD3D,0.516666666666667,7.42287380399917,6.68490204691579,3,7,1
Resident M2,CD8.TEX,S100A8,CD69,0.170160003077018,0,0.973317533564253,3,7,1
Resident M2,CD8.TEX,HLA-B,KLRD1,0.516666666666667,2.62876679328345,4.35326867780136,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,TNF,ICOS,0.383333333333333,0.657530134198098,0.14114545402944,3,7,1
