source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
Regulatory,CD8.TPEX,HLA-DPB1,LAG3,0.644461295362125,0,2.19767723471623,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-DPB1,LAG3,0.351835987518778,0,3.30787618242316,3,9,1
MRC1+ M2-like,CD8.TPEX,HLA-DPA1,LAG3,0.351835987518778,0,3.8386839983659,3,9,1
Regulatory,CD8.TEX,HLA-DRB1,LAG3,1,2.89251805878994,3.26223071530772,3,7,1
CD8.TEX,MRC1+ M2-like,CCL5,CCRL2,0.863636363636364,2.02067210566642,1.71190794514756,3,9,1
CD8.TPEX,Regulatory,CCL4,CCR1,0.266666666666667,2.38101178298991,4.51167459422861,3,7,1
Resident M2,CD8.TPEX,HLA-DRA,LAG3,0.360475232200422,0,5.22863767661807,3,7,1
IFN-stimulated,CD8.TPEX,HLA-B,CD8A,0.6,11.0887455922836,9.56775466726782,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DQB1,LAG3,0.24863323021196,0,1.79511811433283,3,7,1
CD8.TEX,Ciliated,CCL5,GRM7,0.266236376195818,0.269873138596009,0,3,5,1
Resident M2,CD8.TPEX,ITGB2,CD226,0.24863323021196,0,1.17265809125447,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-B,CD8A,0.281818181818182,10.8703735622425,11.2563106368848,3,9,1
Resident M2,CD8.TEX,HLA-DQA1,LAG3,0.833333333333333,2.04782256736775,2.89975210705804,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,CD86,CTLA4,0.109530971677927,0,1.41788737912351,3,7,1
CD8.TEX,IFN-stimulated,CCL5,CCRL2,0.209090909090909,2.16557500529535,1.82840870992579,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,F13A1,ITGA4,0.423622490369026,1.43154089987564,0.665689025015686,3,7,1
IFN-stimulated,CD8.TEX,B2M,CD3D,0.481818181818182,8.51459304276251,7.91113820006605,3,9,1
Regulatory,CD8.TPEX,HLA-C,CD8A,0.266666666666667,10.9069232918722,9.60404131122651,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-A,CD8A,0.372727272727273,11.2090043365805,10.0141798644776,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-E,CD8A,0.0333333333333333,9.50129802888003,7.71983086529519,3,7,1
IFN-stimulated,CD8.TEX,B2M,CD3G,0.727272727272727,9.67830409796946,9.61773393388807,3,9,1
SPP1+ immunosuppressive,CD8.TEX,HLA-B,CD8A,1,10.4971517655975,9.31155163227573,3,7,1
SPP1+ immunosuppressive,CD8.TEX,F13A1,ITGA4,0.666666666666667,1.10484943791908,0.83257731700484,3,7,1
Regulatory,CD8.TEX,LGALS3,LAG3,1,1.91698683355102,1.92547701292927,3,7,1
CD8.TEX,SPP1+ immunosuppressive,SPN,SIGLEC1,0.516666666666667,1.16486634337397,0.791068287849758,3,7,1
Resident M2,CD8.TPEX,NECTIN2,CD96,0.253007497819893,1.20409894730038,0.357134010047687,3,7,1
MRC1+ M2-like,CD8.TEX,FN1,ITGA4_ITGB7,0.209090909090909,0.816679156061621,0.665658017512522,3,9,1
CD8.TPEX,Resident M2,SEMA7A,PLXNC1,0.817520602641764,0.405049143825822,0.297260405831282,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-DRB1,LAG3,0.576420822910323,0,3.68673473407601,3,9,1
Regulatory,CD8.TPEX,SNCA,LAG3,0.807902933617166,0,0.0936685278532971,3,7,1
IFN-stimulated,CD8.TEX,HLA-DQA1,LAG3,1,2.20223852621991,2.55327329113391,3,9,1
IFN-stimulated,CD8.TPEX,CXCL10,SDC4,0.55377503261028,0,0.7665298301404,3,9,1
IFN-stimulated,CD8.TPEX,ITGB2,CD226,0.19242200454578,0,1.0704669465151,3,9,1
Regulatory,CD8.TEX,HLA-B,CD8A,1,10.3416521225511,10.287676881442,3,7,1
CD8.TPEX,IFN-stimulated,TIGIT,NECTIN2,0.516800901648696,0.469843478255254,0.980905422226074,3,9,1
IFN-stimulated,CD8.TPEX,NECTIN2,TIGIT,0.516800901648696,0.469843478255254,0.980905422226074,3,9,1
MRC1+ M2-like,CD8.TEX,LGALS1,CD69,0.863636363636364,2.7337173489962,3.14525531217916,3,9,1
CD8.TPEX,Regulatory,COL6A3,CD44,0.626779617839388,0,0.162208248307347,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DRB1,LAG3,1,3.11720462827916,3.55749966729657,3,7,1
CD8.TPEX,SPP1+ immunosuppressive,CD200,CD200R1,1,0,0,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,CD200R1,CD200,1,0,0,3,7,1
CD8.TPEX,IFN-stimulated,CCL4,CCR1,0.281818181818182,3.24292148727024,4.18529289144231,3,9,1
CD8.TPEX,IFN-stimulated,HLA-A,LILRB2,0.1,5.02754563197634,3.65052576954788,3,9,1
Regulatory,CD8.TPEX,HLA-A,CD8A,0.266666666666667,10.6246154780412,9.79959609192091,3,7,1
SPP1+ immunosuppressive,CD8.TEX,F13A1,ITGB1,0.266666666666667,1.36468115501488,2.23467517246315,3,7,1
IFN-stimulated,CD8.TPEX,CD86,CTLA4,0.138395291882175,0,1.18429491873342,3,9,1
Resident M2,CD8.TEX,HLA-DPB1,LAG3,0.666666666666667,2.1317757924703,2.74847745150419,3,7,1
IFN-stimulated,CD8.TPEX,HLA-DPB1,LAG3,0.351835987518778,0,3.48314820137434,3,9,1
CD8.TPEX,IFN-stimulated,CCL5,CCR1,0.1,3.18596579220192,2.46881208111511,3,9,1
Resident M2,CD8.TPEX,HLA-B,CD8A,0.666666666666667,10.3810953542697,9.72974854282642,3,7,1
Regulatory,CD8.TPEX,HLA-DRB1,LAG3,0.644461295362125,0,2.62955048357669,3,7,1
CD8.TEX,IFN-stimulated,TIGIT,NECTIN2,0.727272727272727,0.51489317259811,0.927013277513804,3,9,1
IFN-stimulated,CD8.TEX,NECTIN2,TIGIT,0.727272727272727,0.51489317259811,0.927013277513804,3,9,1
MRC1+ M2-like,CD8.TEX,S100A8,CD69,0.209090909090909,1.25834935832116,0.943789270910356,3,9,1
CD8.TPEX,SPP1+ immunosuppressive,CCL4,CCR1,0.666666666666667,1.11567647261894,2.51931367840197,3,7,1
Resident M2,CD8.TPEX,CD86,CTLA4,0.0674116194841113,0,1.42928630572924,3,7,1
Resident M2,CD8.TPEX,HLA-DQA1,LAG3,0.253007497819893,0,3.61764253031049,3,7,1
IFN-stimulated,CD8.TPEX,B2M,CD3D,0.404557863119207,9.22205005334802,5.92563748224819,3,9,1
