source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Monocyte-derived,Resident M2,TGFB1,TGFbR1_R2,0.00368715667516651,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Resident M2,TGFB1,TGFbR1_R2,0.00373788233317213,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Resident M2,TGFB1,TGFbR1_R2,0.00206698415785498,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Resident M2,TGFB1,TGFbR1_R2,0.00368684813309958,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Resident M2,TGFB1,TGFbR1_R2,0.00153471575992892,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Resident M2,TGFB1,TGFbR1_R2,0.00273937742741553,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.003369566664695,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.000714248575051973,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00884750819049034,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00499164361711991,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00745226372844711,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.0075568370469008,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00418630855792117,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00745164247784886,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00310873514677224,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,SPP1+ immunosuppressive,TGFB1,TGFbR1_R2,0.00553826141339722,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Stress-response,TGFB1,TGFbR1_R2,0.0007480205132389,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Stress-response,TGFB1,TGFbR1_R2,0.00197248970435011,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Stress-response,TGFB1,TGFbR1_R2,0.00110941757788652,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,Stress-response,TGFB1,TGFbR1_R2,0.00165927186436161,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Stress-response,TGFB1,TGFbR1_R2,0.00168190237762903,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Stress-response,TGFB1,TGFbR1_R2,0.000929344254104156,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Stress-response,TGFB1,TGFbR1_R2,0.00165913278985409,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,Stress-response,TGFB1,TGFbR1_R2,0.000689986989329513,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Stress-response,TGFB1,TGFbR1_R2,0.00123260507185595,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.000854324371547098,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.TPEX,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.000180737423728932,0.02,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00225295914062876,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00126710441297766,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocyte-derived,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.0018951657223003,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00192100176497921,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00106141690308094,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00189500686241828,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.000788041144698845,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Stress-response,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00140783179158351,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
