source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
M2-SIGLEC8+,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.000700126705068764,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00193378715906171,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00411024707612521,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00054154910502229,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,IFN-stimulated,TGFB1,ACVR1B_TGFbR2,0.00355982761710261,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.0045191181058496,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Lipid-associated,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00496485581558384,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00121525504188699,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00335265659250379,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00711655247352504,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
