source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
CD8.TEX,tumor,SIRPG,CD47,0.0293118277797534,0,0.00616718969390298,0,Both
normal,CD8.TEX,CXCL16,CXCR6,0.00448413018769247,0,0.00886097592336505,0,Both
CD8.TPEX,normal,TNFSF14,LTBR,0.00389482950403798,0,0.00705949683011795,0,Both
normal,CD8.TEX,MDK,ITGA4_ITGB1,0.00968876994796106,0,0.00679001556855445,0,Both
normal,CD8.TPEX,MDK,ITGA4_ITGB1,0.00570350136703829,0,0.00536094288297836,0,Both
normal,CD8.TEX,MDK,NCL,0.0200339826639417,0,0.0133786979341265,0,Both
normal,CD8.TPEX,MDK,NCL,0.022422311240949,0,0.0158372103296829,0,Both
normal,CD8.TEX,PGE2-PTGES3,PTGER4,0.00801037265384255,0,0.0112163789300202,0,Both
normal,CD8.TEX,APP,CD74,0.103735221880529,0,0.114444436052594,0,Both
normal,CD8.TEX,CDH1,ITGAE_ITGB7,0.00697011006805815,0,0.00947429359738057,0,Both
normal,CD8.TEX,ICAM1,ITGAL_ITGB2,0.00583740867962401,0,0.00994381362702057,0,Both
normal,CD8.TEX,ICAM1,ITGAL,0.00782713383425271,0,0.00805301319131112,0,Both
normal,CD8.TPEX,ICAM1,ITGAL,0.00420566336789362,0,0.0030803793403588,0,Both
normal,CD8.TEX,ICAM1,SPN,0.0116640026840585,0,0.00986874846906304,0,Both
normal,CD8.TEX,F11R,ITGAL_ITGB2,0.0238154563908783,0,0.0243190032328927,0,Both
normal,CD8.TPEX,F11R,ITGAL_ITGB2,0.0160536391768273,0,0.0125872407919412,0,Both
normal,CD8.TEX,HLA-A,CD8A,0.281944075968942,0,0.252456841277247,0,Both
normal,CD8.TPEX,HLA-A,CD8A,0.2684139062682,0,0.22480515218492,0,Both
normal,CD8.TEX,HLA-B,CD8A,0.244276817713991,0,0.230297371287398,0,Both
normal,CD8.TPEX,HLA-B,CD8A,0.231970302437649,0,0.204409138183747,0,Both
normal,CD8.TEX,HLA-C,CD8A,0.266149484060469,0,0.238787637183204,0,Both
normal,CD8.TPEX,HLA-C,CD8A,0.253110101031423,0,0.212208126708968,0,Both
normal,CD8.TEX,HLA-E,CD8A,0.188857131668894,0,0.15878883485985,0,Both
normal,CD8.TPEX,HLA-E,CD8A,0.178682485818956,0,0.1394823418481,0,Both
normal,CD8.TEX,HLA-F,CD8A,0.0354076201168458,0,0.058971361913215,0,Both
normal,CD8.TEX,HLA-A,CD8B,0.0549412991949114,0,0.0450992026208023,0,Both
normal,CD8.TEX,HLA-B,CD8B,0.0456722590226103,0,0.0401627414824206,0,Both
normal,CD8.TEX,HLA-C,CD8B,0.050960953084432,0,0.0420261303249228,0,Both
normal,CD8.TEX,HLA-E,CD8B,0.0333236500112567,0,0.0257192782812838,0,Both
normal,CD8.TEX,HLA-F,CD8B,0.00540548177420483,0,0.00868777399074954,0,Both
normal,CD8.TPEX,NECTIN2,CD226,0.00114640873377308,0,0.00226245825047225,0,Both
normal,CD8.TEX,NECTIN2,TIGIT,0.00776352176918604,0,0.0121270238426678,0,Both
normal,CD8.TPEX,NECTIN2,TIGIT,0.00838564242259069,0,0.0115196316433558,0,Both
CD8.TEX,normal,SEMA4D,PLXNB2,0.00488777819008581,0,0.00265385392049269,0,Both
CD8.TPEX,normal,SEMA4D,PLXNB2,0.004922302085745,0,0.0060285429746525,0,Both
normal,CD8.TEX,CD55,ADGRE5,0.00583672849437502,0,0.0271974856664997,0,Both
normal,CD8.TEX,SFTPD,ADGRE5,0.00992412543969417,0,0.0033665567828509,0,Both
normal,CD8.TPEX,SFTPD,ADGRE5,0.00914833831575046,0,0.00271813861531337,0,Both
CD8.TEX,normal,SIRPG,CD47,0.0297167355980373,0,0.0264093153954042,0,Both
Ciliated,CD8.TEX,ITGAV_ITGB1,ADGRE5,0.00556785605169554,0,0.00441027979473883,0.03,Both
Ciliated,CD8.TPEX,HLA-F,CD8A,0.0697044491281947,0.01,0.0207571033106351,0,Both
tumor,CD8.TPEX,ITGAV_ITGB1,ADGRE5,0.00778836488579186,0.01,0.0113611189612027,0,Both
normal,CD8.TPEX,ICAM1,SPN,0.00464433002397197,0.01,0.00859308677884866,0,Both
normal,CD8.TPEX,MDK,SDC4,0.00112842884967658,0.02,0.00312219599230585,0,Both
tumor,CD8.TPEX,HLA-F,CD8A,0.0639203178709602,0.04,0.045367203579449,0,Both
Ciliated,CD8.TEX,COL9A2,ITGA1_ITGB1,0.00617754667011104,0,,,MPR_only
Ciliated,CD8.TPEX,COL9A2,ITGA1_ITGB1,0.00233596604394302,0,,,MPR_only
CD8.TPEX,Ciliated,COL6A3,ITGA2_ITGB1,0.00137731825592027,0,,,MPR_only
Ciliated,CD8.TEX,LAMA5,ITGA1_ITGB1,0.00532564623041546,0,,,MPR_only
Ciliated,CD8.TPEX,LAMA5,ITGA1_ITGB1,0.00201275707619836,0,,,MPR_only
CD8.TPEX,Ciliated,COL6A3,ITGA3_ITGB1,0.0014240976601331,0,,,MPR_only
CD8.TPEX,Ciliated,COL6A3,ITGAV_ITGB8,0.000908644308049263,0,,,MPR_only
Ciliated,CD8.TEX,COL9A2,CD44,0.00597901884369758,0,,,MPR_only
Ciliated,CD8.TPEX,COL9A2,CD44,0.00396598870237748,0,,,MPR_only
Ciliated,CD8.TEX,LAMA5,CD44,0.00515435393907315,0,,,MPR_only
Ciliated,CD8.TPEX,LAMA5,CD44,0.00341801919769063,0,,,MPR_only
CD8.TPEX,Ciliated,COL6A3,SDC4,0.00583000992109583,0,,,MPR_only
Ciliated,CD8.TPEX,COL9A2,SDC4,0.000364641318761104,0,,,MPR_only
Ciliated,CD8.TEX,CD99,CD99,0.0543548682733892,0,,,MPR_only
CD8.TEX,Ciliated,CD99,CD99,0.0543548682733892,0,,,MPR_only
CD8.TEX,Ciliated,CD99,CD99L2,0.00722011266507691,0,,,MPR_only
CD8.TPEX,Ciliated,CD99,CD99L2,0.0026435824059917,0,,,MPR_only
Ciliated,CD8.TEX,ICAM1,ITGAL,0.00259757984535002,0,,,MPR_only
Ciliated,CD8.TEX,ICAM1,SPN,0.00388094349989649,0,,,MPR_only
CD8.TEX,Ciliated,HLA-DPA1,CD4,0.048639265651137,0,,,MPR_only
CD8.TEX,Ciliated,HLA-DPB1,CD4,0.0477554196425478,0,,,MPR_only
CD8.TEX,Ciliated,HLA-DMA,CD4,0.0107106815073874,0,,,MPR_only
CD8.TEX,Ciliated,HLA-DRA,CD4,0.053995279715795,0,,,MPR_only
CD8.TPEX,Ciliated,HLA-DRA,CD4,0.055877420352598,0,,,MPR_only
CD8.TEX,Ciliated,HLA-DRB1,CD4,0.0727147306399821,0,,,MPR_only
CD8.TPEX,Ciliated,HLA-DRB1,CD4,0.0640311028249652,0,,,MPR_only
CD8.TPEX,Ciliated,HLA-DRB3,CD4,0.0107283897066516,0,,,MPR_only
Ciliated,CD8.TEX,NECTIN2,CD226,0.00216427731048497,0,,,MPR_only
tumor,CD8.TEX,CXCL12,CXCR4,0.00417949325268379,0,,,MPR_only
tumor,CD8.TPEX,CXCL12,CXCR4,0.00309335266828162,0,,,MPR_only
tumor,CD8.TPEX,ANGPTL4,SDC4,0.000180003012721429,0,,,MPR_only
tumor,CD8.TEX,LGALS9,HAVCR2,0.0212031587256521,0,,,MPR_only
tumor,CD8.TEX,COL4A1,ITGA1_ITGB1,0.00392638710585826,0,,,MPR_only
tumor,CD8.TPEX,COL4A1,ITGA1_ITGB1,0.00148262829218507,0,,,MPR_only
tumor,CD8.TEX,COL9A3,ITGA1_ITGB1,0.00276883884398837,0,,,MPR_only
tumor,CD8.TPEX,COL9A3,ITGA1_ITGB1,0.00104477516321133,0,,,MPR_only
CD8.TPEX,tumor,COL6A3,ITGA2_ITGB1,0.00255037780311977,0,,,MPR_only
tumor,CD8.TEX,LAMB1,ITGA1_ITGB1,0.00355705221377784,0,,,MPR_only
tumor,CD8.TPEX,LAMB1,ITGA1_ITGB1,0.00134285522912359,0,,,MPR_only
tumor,CD8.TEX,LAMB3,ITGA1_ITGB1,0.00321269379781972,0,,,MPR_only
tumor,CD8.TPEX,LAMB3,ITGA1_ITGB1,0.0012125924872407,0,,,MPR_only
CD8.TPEX,tumor,COL6A3,ITGAV_ITGB8,0.00169657876651911,0,,,MPR_only
tumor,CD8.TEX,COL4A1,CD44,0.00379992818108327,0,,,MPR_only
tumor,CD8.TPEX,COL4A1,CD44,0.00251870042636872,0,,,MPR_only
CD8.TPEX,tumor,COL6A3,CD44,0.00717180849609928,0,,,MPR_only
tumor,CD8.TEX,COL9A3,CD44,0.00267956130711702,0,,,MPR_only
tumor,CD8.TPEX,COL9A3,CD44,0.00177541617935877,0,,,MPR_only
tumor,CD8.TEX,LAMB1,CD44,0.00344244751437624,0,,,MPR_only
tumor,CD8.TPEX,LAMB1,CD44,0.00228147603714789,0,,,MPR_only
tumor,CD8.TEX,LAMB3,CD44,0.0031091493667235,0,,,MPR_only
tumor,CD8.TPEX,LAMB3,CD44,0.00206035088130079,0,,,MPR_only
CD8.TPEX,tumor,COL6A3,SDC1,0.00691878953184177,0,,,MPR_only
tumor,CD8.TPEX,COL4A1,SDC4,0.00023126944989845,0,,,MPR_only
CD8.TPEX,tumor,COL6A3,SDC4,0.000998060971164193,0,,,MPR_only
tumor,CD8.TPEX,COL9A3,SDC4,0.00016291014118588,0,,,MPR_only
tumor,CD8.TEX,CD99,CD99,0.0530915235962004,0,,,MPR_only
CD8.TEX,tumor,CD99,CD99,0.0530915235962004,0,,,MPR_only
tumor,CD8.TEX,NECTIN3,TIGIT,0.00519153403522653,0,,,MPR_only
tumor,CD8.TPEX,NECTIN3,TIGIT,0.00560871650645951,0,,,MPR_only
tumor,CD8.TEX,NECTIN2,CD226,0.00138036783717984,0,,,MPR_only
tumor,CD8.TEX,CD274,PDCD1,0.00258241071240525,0,,,MPR_only
tumor,CD8.TPEX,CD274,PDCD1,0.00183783288979883,0,,,MPR_only
CD8.TEX,tumor,SEMA4D,PLXNB1,0.00143328094954902,0,,,MPR_only
CD8.TPEX,tumor,SEMA4D,PLXNB1,0.00144344005132071,0,,,MPR_only
tumor,CD8.TEX,LPAR1,ADGRE5,0.00122584038084469,0,,,MPR_only
tumor,CD8.TPEX,LPAR1,ADGRE5,0.00112923865078878,0,,,MPR_only
tumor,CD8.TEX,LPAR2,ADGRE5,0.00148732346974184,0,,,MPR_only
tumor,CD8.TPEX,LPAR2,ADGRE5,0.00137014396526029,0,,,MPR_only
tumor,CD8.TEX,LPAR3,ADGRE5,0.00199615055760313,0,,,MPR_only
tumor,CD8.TPEX,LPAR3,ADGRE5,0.00183895669325832,0,,,MPR_only
CD8.TPEX,normal,COL6A3,ITGA3_ITGB1,0.00102094550594143,0,,,MPR_only
CD8.TPEX,normal,COL6A3,CD44,0.00370893934473413,0,,,MPR_only
CD8.TPEX,normal,COL6A3,SDC1,0.00437863224486708,0,,,MPR_only
CD8.TPEX,normal,COL6A3,SDC4,0.00386060301453096,0,,,MPR_only
normal,CD8.TPEX,APP,CD74,0.0963761444487445,0,,,MPR_only
normal,CD8.TPEX,ICAM1,ITGAL_ITGB2,0.00391143151197368,0,,,MPR_only
normal,CD8.TEX,NECTIN2,CD226,0.00159783245796486,0,,,MPR_only
CD8.TEX,normal,CRTAM,CADM1,0.00266149955556205,0,,,MPR_only
CD8.TPEX,normal,CRTAM,CADM1,0.0153397510305511,0,,,MPR_only
CD8.TPEX,Ciliated,HLA-DPA1,CD4,0.0301461890684855,0.01,,,MPR_only
tumor,CD8.TEX,LGALS9,PTPRC,0.0427673688796098,0.01,,,MPR_only
tumor,CD8.TPEX,LGALS9,PTPRC,0.0401588540151775,0.01,,,MPR_only
Ciliated,CD8.TEX,ICAM1,ITGAL_ITGB2,0.00193466034684924,0.02,,,MPR_only
Ciliated,CD8.TPEX,PGE2-PTGES3,PTGER4,,,0.0223827403900962,0,NMPR_only
Ciliated,CD8.TPEX,Cholesterol-DHCR24,RORA,,,0.0175096999193521,0,NMPR_only
Ciliated,CD8.TPEX,Cholesterol-LIPA,RORA,,,0.00127062291171936,0,NMPR_only
CD8.TPEX,Ciliated,Cholesterol-LIPA,RORA,,,0.000101252144654677,0,NMPR_only
CD8.TEX,Ciliated,CD6,ALCAM,,,0.0179869160029172,0,NMPR_only
CD8.TPEX,Ciliated,CD6,ALCAM,,,0.0186913154172741,0,NMPR_only
Ciliated,CD8.TPEX,CDH1,ITGAE_ITGB7,,,0.00516333103858118,0,NMPR_only
Ciliated,CD8.TPEX,HLA-A,CD8B,,,0.0291816909778598,0,NMPR_only
Ciliated,CD8.TPEX,HLA-B,CD8B,,,0.0249674999035514,0,NMPR_only
Ciliated,CD8.TPEX,HLA-C,CD8B,,,0.0313078959140945,0,NMPR_only
Ciliated,CD8.TPEX,HLA-E,CD8B,,,0.0200625276561522,0,NMPR_only
Ciliated,CD8.TPEX,HLA-F,CD8B,,,0.00266952676942075,0,NMPR_only
CD8.TEX,Ciliated,HLA-DRB5,CD4,,,0.0113895134441268,0,NMPR_only
CD8.TPEX,Ciliated,SIRPG,CD47,,,0.00534548979128725,0,NMPR_only
CD8.TEX,tumor,TNFSF10,TNFRSF10A,,,0.000835554227313031,0,NMPR_only
CD8.TPEX,tumor,TNFSF10,TNFRSF10A,,,0.000532605390776456,0,NMPR_only
tumor,CD8.TEX,SPP1,ITGA4_ITGB1,,,0.00538882074542776,0,NMPR_only
tumor,CD8.TPEX,SPP1,ITGA4_ITGB1,,,0.00425339009571993,0,NMPR_only
tumor,CD8.TEX,KLK6,F2R,,,0.00134192182487144,0,NMPR_only
tumor,CD8.TPEX,PGE2-PTGES2,PTGER4,,,0.00121881105278756,0,NMPR_only
tumor,CD8.TPEX,PGE2-PTGES3,PTGER4,,,0.0217085966793078,0,NMPR_only
tumor,CD8.TPEX,Cholesterol-DHCR24,RORA,,,0.0133826846566419,0,NMPR_only
tumor,CD8.TPEX,Cholesterol-DHCR7,RORA,,,0.00150068727017191,0,NMPR_only
tumor,CD8.TPEX,Cholesterol-LIPA,RORA,,,0.00134527306542743,0,NMPR_only
CD8.TPEX,tumor,Cholesterol-LIPA,RORA,,,0.000529643277453382,0,NMPR_only
CD8.TEX,tumor,CD6,ALCAM,,,0.0123557100599196,0,NMPR_only
CD8.TPEX,tumor,CD6,ALCAM,,,0.0128424654960848,0,NMPR_only
tumor,CD8.TPEX,CDH1,ITGAE_ITGB7,,,0.00939231294682658,0,NMPR_only
tumor,CD8.TPEX,HLA-A,CD8B,,,0.0252686396146177,0,NMPR_only
tumor,CD8.TPEX,HLA-B,CD8B,,,0.0293687977122071,0,NMPR_only
tumor,CD8.TPEX,HLA-C,CD8B,,,0.0334193731613632,0,NMPR_only
tumor,CD8.TPEX,HLA-E,CD8B,,,0.0199545882582439,0,NMPR_only
tumor,CD8.TPEX,HLA-F,CD8B,,,0.0059652152058836,0,NMPR_only
tumor,CD8.TEX,CD55,ADGRE5,,,0.00488727260126183,0,NMPR_only
CD8.TPEX,tumor,SIRPG,CD47,,,0.00138163864925944,0,NMPR_only
CD8.TEX,normal,IFNG,IFNGR1_IFNGR2,,,0.0108690789092294,0,NMPR_only
CD8.TPEX,normal,IFNG,IFNGR1_IFNGR2,,,0.0117023478062766,0,NMPR_only
CD8.TEX,normal,GZMA,PARD3,,,0.00713832717711512,0,NMPR_only
CD8.TPEX,normal,GZMA,PARD3,,,0.00385301026086635,0,NMPR_only
normal,CD8.TEX,LAMA5,ITGA1_ITGB1,,,0.00497442977053365,0,NMPR_only
normal,CD8.TPEX,LAMA5,ITGA1_ITGB1,,,0.00451123695369492,0,NMPR_only
normal,CD8.TEX,LAMB3,ITGA1_ITGB1,,,0.0100844604730949,0,NMPR_only
normal,CD8.TPEX,LAMB3,ITGA1_ITGB1,,,0.00914982381934854,0,NMPR_only
normal,CD8.TEX,LAMC1,ITGA1_ITGB1,,,0.00287769833294916,0,NMPR_only
normal,CD8.TPEX,LAMC1,ITGA1_ITGB1,,,0.00260923018932202,0,NMPR_only
normal,CD8.TEX,LAMC2,ITGA1_ITGB1,,,0.0088621321439036,0,NMPR_only
