source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
normal_NMPR,Resident M2,THBS1,LRP1,1,41328.6666666667,0.750461419716788,42599,0.00418193631767911,51895,0.290936407134812,29492
normal_NMPR,Resident M2,PLAU,ITGAM,1,49995,0.750461156811705,42600,0.00331370340024217,56364,0.00637993250205432,51021
normal_NMPR,MRC1+ M2-like,GNAI2,UNC5B,1,50266,0.750450976267406,42601,0.00531245880777886,45647,-0.206977797801794,62550
M2-SIGLEC8+,IFN-stimulated,GPI,AMFR,1,53898.3333333333,0.750418752412911,42607,0.00345231847697998,55658,-0.234529150279831,63430
normal_NMPR,M2-SIGLEC8+,ARF6,PLD1,1,50579.3333333333,0.750418591884223,42608,0.00501996472585569,47262,-0.188819638145646,61868
CD8.TPEX,normal_NMPR,PSAP,SORT1,1,59729.6666666667,0.750417499003035,42609,0.000795639850634495,67592,-0.793087669288932,68988
M2-SIGLEC8+,Lipid-associated,SPTAN1,PTPRA,1,52487,0.750415053229109,42610,0.00351918688239223,55312,-0.133416685690557,59539
tumor_NMPR,Resident M2,SPP1,ITGAV_ITGB5,1,51732,0.750412526177874,42611,0.00321036559987571,56923,-0.0630492578883903,55662
Lipid-associated,Regulatory,ARF1,PLD2,1,50115.6666666667,0.750407035038539,42612,0.00461390153824129,49515,-0.108038464578717,58220
Ciliated,tumor_NMPR,ADAM10,TSPAN14,1,57043.6666666667,0.75040654659951,42614,0.00203102762817184,62427,-0.341502277914384,66090
SPP1+ immunosuppressive,Resident M2,HMGB1,THBD,1,57448,0.750384002022154,42616,0.0015852141656739,64341,-0.307273675652178,65387
IFN-stimulated,Resident M2,CALM1,INSR,1,54621.6666666667,0.750363074752147,42619,0.00274907096842374,59166,-0.194521874179065,62080
Ciliated,M2-SIGLEC8+,ADAM9,ITGAV,1,45352.6666666667,0.75035465765628,42620,0.00426813557929104,51416,0.127653543117905,42022
Lipid-associated,tumor_NMPR,APOE,SCARB1,1,46277.3333333333,0.750345827925184,42623,0.0020423706023974,62384,0.232412973828054,33825
tumor_NMPR,tumor_NMPR,COPA,CD74,1,60196,0.750344692878574,42624,0.000237632416274945,68940,-0.844235638722283,69024
MRC1+ M2-like,SPP1+ immunosuppressive,ADAM15,ITGB1,1,44652.6666666667,0.750343732118307,42625,0.00705779642655176,36088,-0.05586470137058,55245
MRC1+ M2-like,Ciliated,ADAM9,ITGAV,1,46568.6666666667,0.750341187644834,42627,0.00426752180729417,51417,0.0801090119752693,45662
MRC1+ M2-like,MRC1+ M2-like,VEGFA,SIRPA,1,52696.3333333333,0.750325359324231,42633,0.00112627342797354,66290,0.0322826027573964,49166
Monocyte-derived,Stress-response,CALM1,PDE1B,1,48507.6666666667,0.750313735139953,42634,0.00573548170783952,43310,-0.134123666571043,59579
IFN-stimulated,IFN-stimulated,ADAM9,ITGAV,1,48271.6666666667,0.750312925011472,42636,0.00426623435613548,51424,0.0101615411276896,50755
normal_NMPR,Stress-response,THBS1,CD47,1,50561.6666666667,0.750281415259177,42638,0.00278301179676648,59016,0.02034007024786,50031
Lipid-associated,normal_NMPR,GPI,AMFR,1,54292.3333333333,0.750232804849556,42643,0.00344547184819215,55696,-0.273485595308944,64538
SPP1+ immunosuppressive,SPP1+ immunosuppressive,CALM2,PDE1B,1,41297,0.750228247147557,42644,0.00874560123972431,28721,-0.0145904689839193,52526
M2-SIGLEC8+,Ciliated,HSP90B1,TLR1,1,54667.3333333333,0.750203199791033,42648,0.00198945046583928,62611,-0.117738047221118,58743
normal_NMPR,Lipid-associated,ADM,GPR84,1,47458.3333333333,0.750199203427675,42651,0.00462771005479614,49442,0.0171076727048863,50282
Ciliated,MRC1+ M2-like,HSPA8,ADRB2,1,47091.3333333333,0.750193967744127,42653,0.00572828811260002,43348,-0.0562243449172838,55273
Monocyte-derived,normal_NMPR,FAM3C,LAMP1,1,58507.6666666667,0.750184431110025,42654,0.00154076367532904,64531,-0.551205954678322,68338
normal_NMPR,Regulatory,SPTAN1,PTPRA,1,53085,0.750170193649437,42656,0.00351000017399151,55364,-0.171971015962297,61235
Ciliated,Ciliated,CALR,LRP1,1,59997.3333333333,0.750147786589023,42657,0.000514319172203466,68384,-0.768668198896472,68951
