cd8_state,signature,p_value,median_MPR,median_nonMPR,p_adj
CD8.TPEX,HALLMARK_ANDROGEN_RESPONSE,0.0913662971458413,0.0764952271624678,0.078435793889948,0.169196846566373
CD8.TPEX,HALLMARK_P53_PATHWAY,0.116834941484435,0.107027509824937,0.109199714183637,0.20229440679675
CD8.TPEX,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.117330755942115,0.030033657020468,0.0269819798057878,0.20229440679675
CD8.TPEX,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.145792513435976,0.119478724454536,0.120390298482904,0.242987522393293
CD8.TPEX,HALLMARK_HEDGEHOG_SIGNALING,0.230578960123601,0.019462256721791,0.0194997562530468,0.360279625193126
CD8.TPEX,HALLMARK_INFLAMMATORY_RESPONSE,0.225329091960495,0.0754108610217935,0.0773597713469096,0.360279625193126
CD8.TPEX,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.297250225857994,0.126221864951768,0.12746695248303,0.437132685085285
CD8.TPEX,HALLMARK_PROTEIN_SECRETION,0.292324871438661,0.0767991445630957,0.0740361981857848,0.437132685085285
CD8.TPEX,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.362166946236336,0.120740228294708,0.123327568315462,0.517381351766195
CD8.TPEX,HALLMARK_MYOGENESIS,0.427210101654447,0.031739907109682,0.0303483386923902,0.593347363408954
CD8.TPEX,HALLMARK_SPERMATOGENESIS,0.446337933103946,0.0143001241464928,0.0138475067246017,0.603159369059386
CD8.TPEX,HALLMARK_NOTCH_SIGNALING,0.468716797324363,0.032471772834513,0.0332301145938658,0.606898261545168
CD8.TPEX,HALLMARK_PANCREAS_BETA_CELLS,0.473380644005231,0.031961811422778,0.0333474146671172,0.606898261545168
CD8.TPEX,HALLMARK_DNA_REPAIR,0.497987296713074,0.0665403065403065,0.0658312858312858,0.622484120891342
CD8.TPEX,HALLMARK_APICAL_JUNCTION,0.515452992558647,0.0621507681314756,0.0627277599142551,0.628601210437375
CD8.TPEX,HALLMARK_ADIPOGENESIS,0.605306305904341,0.0639496248660236,0.0643497677742051,0.720602745124216
CD8.TPEX,HALLMARK_TGF_BETA_SIGNALING,0.671676944718217,0.110274790919952,0.110802993145947,0.781019703160718
CD8.TPEX,HALLMARK_KRAS_SIGNALING_DN,0.698814845875969,0.0156698821007503,0.0158306538049303,0.79410777940451
CD8.TPEX,HALLMARK_XENOBIOTIC_METABOLISM,0.816864276988442,0.0317631296891747,0.0317809932118613,0.907626974431602
CD8.TPEX,HALLMARK_ANGIOGENESIS,0.914345358353267,0.026390295121311,0.026109048636892,0.978000436675723
CD8.TPEX,HALLMARK_APOPTOSIS,0.944923735957927,0.121065486586215,0.12009375861752,0.978000436675723
CD8.TPEX,HALLMARK_BILE_ACID_METABOLISM,0.971228075592906,0.0269217922707704,0.0270795190261764,0.978000436675723
CD8.TPEX,HALLMARK_G2M_CHECKPOINT,0.969934701463413,0.0832833154698106,0.0820167917113255,0.978000436675723
CD8.TPEX,HALLMARK_PEROXISOME,0.978000436675723,0.0544705726052877,0.0538229042115053,0.978000436675723
