source,tam_short,n_MPR,n_pCR,median_MPR,median_pCR,p_value,p_adj
CIITA,IFN-stimulated,7,6,14.7843426362301,15.0266975556275,0.445221445221445,1
CREB1,IFN-stimulated,7,6,9.4772958821318,9.97550558520945,1,1
DDIT3,IFN-stimulated,7,6,7.3351742115112,9.11826085561579,0.365967365967366,1
EGR1,IFN-stimulated,7,6,7.19733887555888,7.20400397645994,0.945221445221445,1
HIF1A,IFN-stimulated,7,6,11.1627430625968,11.5296025071898,1,1
HSF1,IFN-stimulated,7,6,7.7000813601227,9.87350286102345,0.628205128205128,1
HSF2,IFN-stimulated,7,6,4.44775487053062,8.23329473483473,0.101398601398601,1
IRF1,IFN-stimulated,7,6,10.3815510011397,10.8470214526809,1,1
JUN,IFN-stimulated,7,6,14.6142114734222,15.3500985929011,1,1
NFKB,IFN-stimulated,7,6,15.6079635389234,16.3915889330513,0.730769230769231,1
NFKB1,IFN-stimulated,7,6,12.433048205794,13.1696823107059,0.628205128205128,1
REL,IFN-stimulated,7,6,13.3420945922923,13.5431840652584,0.445221445221445,1
RELA,IFN-stimulated,7,6,13.786183739367,14.6789880055758,0.628205128205128,1
RFX5,IFN-stimulated,7,6,15.6005489207958,14.904009308057,0.730769230769231,1
RFXANK,IFN-stimulated,7,6,17.2601819555156,16.6774860902157,0.533799533799534,1
RFXAP,IFN-stimulated,7,6,18.4220695489299,17.7591526196363,0.533799533799534,1
SPI1,IFN-stimulated,7,6,12.8135871830947,10.9256395172376,0.445221445221445,1
STAT1,IFN-stimulated,7,6,11.8923799644029,12.5066706717544,0.628205128205128,1
STAT3,IFN-stimulated,7,6,10.1234611586156,10.0718389419159,0.533799533799534,1
EGR1,LAMs,10,11,4.89862052167019,3.91899842711333,0.0127184477029678,0.158711257782465
REL,LAMs,10,11,7.65584924846257,6.35194823668926,0.0158711257782465,0.158711257782465
DDIT3,LAMs,10,11,4.88616913727928,4.00863398395511,0.0429637442021343,0.286424961347562
AP1,LAMs,10,11,7.70542755850411,6.39350988786978,0.0986175846856962,0.303255528309113
HSF1,LAMs,10,11,4.74523010101349,3.92611250690363,0.173351931865864,0.303255528309113
JUN,LAMs,10,11,10.5699462619491,9.18163926215694,0.132117624377686,0.303255528309113
NFKB,LAMs,10,11,11.033649408734,9.39439399470462,0.0986175846856962,0.303255528309113
NFKB1,LAMs,10,11,7.14497015829284,6.40020667716848,0.173351931865864,0.303255528309113
RELA,LAMs,10,11,8.24014288502709,7.45603962991461,0.197116093400923,0.303255528309113
RFX5,LAMs,10,11,15.0001667366639,13.5322543579274,0.197116093400923,0.303255528309113
SPI1,LAMs,10,11,9.45323897934994,8.654779544563,0.0845212578958709,0.303255528309113
STAT1,LAMs,10,11,6.79667932098095,6.14581701927549,0.132117624377686,0.303255528309113
STAT3,LAMs,10,11,5.46937073299016,4.91615505010607,0.173351931865864,0.303255528309113
