cell,final_group,scevan_group,CytoTRACE2_Score,CytoTRACE2_Potency,response,cell_type
BD_immune09_424558,normal_NMPR,normal_NMPR,0.480504248157405,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_19658,normal_NMPR,normal_NMPR,0.401718981839514,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_29937,normal_NMPR,normal_NMPR,0.408337087318522,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_335675,normal_NMPR,normal_NMPR,0.593502811674845,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_145870,normal_NMPR,normal_NMPR,0.437274522569164,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_709366,normal_NMPR,normal_NMPR,0.412400897340279,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_508510,normal_NMPR,normal_NMPR,0.465149379509249,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_273582,normal_NMPR,normal_NMPR,0.418337765695768,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_467536,normal_NMPR,normal_NMPR,0.486947683447013,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_411126,normal_NMPR,normal_NMPR,0.490412086054148,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_395179,normal_NMPR,normal_NMPR,0.305773358105517,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_386676,normal_NMPR,normal_NMPR,0.346899641835711,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_426034,normal_NMPR,normal_NMPR,0.380063535029379,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_160580,normal_NMPR,normal_NMPR,0.47102374376368,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_738635,normal_NMPR,normal_NMPR,0.191414264084963,Unipotent,NMPR,Tumor_epithelial
BD_immune09_72015,normal_NMPR,normal_NMPR,0.361186187492041,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_556102,normal_NMPR,normal_NMPR,0.440371474786807,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_391231,normal_NMPR,normal_NMPR,0.522252631589132,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_816333,normal_NMPR,normal_NMPR,0.225080291835356,Unipotent,NMPR,Tumor_epithelial_basal
