final_group,PathResponse,TME_cell_type,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM,cell
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0501178992497321,0.12591103965702,0.0893685641856111,0.0355683053961825,0.0891872097177563,0.0717351176742039,0.133279932066585,0.0240858033549408,0.122115962115962,0.0299707713427453,0.0804769560557342,0.0633157833157834,0.0552911754197928,0.0428045730618077,0.0694569489103252,0.0681046802429439,0.0736547569718276,0.088093962129332,0.069044301536263,0.036505793677579,0.0481564844587352,0.11108610217935,0.0645082555635319,0.065815649867374,0.0578795998570918,0.112457103881433,0.129335476956056,0.0304841014648088,0.0584530189353341,0.0744903086862886,0.171087888531618,0.210741336191497,0.116023168286649,0.0369203286888175,0.0262891809908999,0.108372633083244,0.133420864594498,0.0219330855018587,0.0621230237810548,0.188830749991773,0.126690062004823,0.182919405050156,0.0330540037243948,0.0809910079859146,0.127138263665595,0.149114737610313,0.044325257832263,0.098452140670739,0.0313541716991159,0.0542979635584138,BD_immune07_554970
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0651196856020008,0.104576634512326,0.154804610895872,0.0279559005512431,0.0827563415505538,0.0887863405629903,0.15407140887424,0.0413615220941165,0.118992838992839,0.0431945858598138,0.0729439085387639,0.0276705276705277,0.114431939978564,0.0667988567345481,0.0634065737763487,0.0663219006788138,0.0878323286059909,0.0934083601286174,0.0842801000357271,0.0419338508268646,0.0703572704537335,0.103342265094677,0.081143216080402,0.0630407667045598,0.0624026438013576,0.124926286173062,0.125753840657378,0.0259485530546624,0.0489228295819936,0.109052404881551,0.126759556984637,0.165703822793855,0.0568947929979247,0.054124687388353,0.0314079878665319,0.0908520900321543,0.0978242229367632,0.0251943224062183,0.070114255347416,0.0909105867640767,0.0814674474681364,0.174327222414389,0.0192815021725636,0.0902471231843048,0.148606645230439,0.0973788628655885,0.0612935395991439,0.119339776063875,0.0480216435576598,0.0616630939621293,BD_immune07_338911
normal_NMPR,NMPR,Tumor_epithelial_basal,0.086020007145409,0.102025723472669,0.084114001462258,0.0261746728165898,0.0603947838513755,0.0227580372250423,0.103311753968984,0.0258610025236281,0.0837791637791638,0.0306419666783176,0.0590478742408003,0.0870761670761671,0.152704537334762,0.0457163272597356,0.0517238299392641,0.077652733118971,0.070985880350563,0.121337977849232,0.0876027152554484,0.0392620092248847,0.0802750982493747,0.0959842801000357,0.0434745154343145,0.0431350258936466,0.0411825652018578,0.114339914882733,0.0646480886030725,0.024130046445159,0.0323829939264023,0.0543072505384064,0.171346909610575,0.24156841729189,0.101091582736343,0.0291175419792783,0.0441102123356926,0.156123615576992,0.117081100392997,0.0235890503548496,0.0594327089145742,0.151150162898608,0.0935024112986565,0.181425112417849,0.0319108214359611,0.0603596805634157,0.123712040014291,0.130655161628613,0.0306552831290134,0.123450024282767,0.0543826593877321,0.0643783494105038,BD_immune07_287210
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0653858520900321,0.119832082886745,0.108798146895435,0.0384838939513256,0.0738013576277242,0.0782725734502384,0.132656187762356,0.0394749863922015,0.104559944559945,0.043468129619217,0.0777545551982851,0.0628875628875629,0.0935834226509468,0.0738531618435155,0.0640961057520543,0.0814397999285459,0.078333088277884,0.0920882458020722,0.0795373347624152,0,0.0534047874240801,0.136618435155413,0.0438962670495334,0.0632223380068208,0.0736584494462308,0.121775242101075,0.117870668095749,0.0307270453733476,0.0649660593068954,0.0832322325915291,0.156436227224009,0.202972490175062,0.0659287833132057,0.0382690246516613,0.063953488372093,0.094935691318328,0.113285101822079,0,0.0694466586953634,0.161134695758054,0.0893759329429326,0.143106191629194,0.0145432443616801,0.115619694397283,0.128662022150768,0.11294991383487,0.0389545631445807,0.0944176368634685,0.0452759392563248,0.0830689531975706,BD_immune07_193907
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0691711325473383,0.0990425151839943,0.0917942725949613,0.0347620654741816,0.0619346195069668,0.0999384710044609,0.113764395361969,0.0394811717551586,0.125978285978286,0.0517884189677269,0.0364165773490532,0.0689177489177489,0.0908074312254377,0.0329581993569131,0.0445212575919971,0.0597088245802072,0.0621393786284915,0.0610003572704537,0.0789746337977849,0,0.0677045373347625,0.0986137906395141,0.049529791816224,0.0441178792471896,0.0477527688460164,0.100144230427647,0.0831636298678099,0.019871382636656,0.0261450518042158,0.0465021536252692,0.108862093604859,0.177840300107181,0.0649497590545088,0.0282600928903179,0.0390546006066734,0.151159342622365,0.122152554483744,0.0553396417708686,0.0734123820911385,0.105726132885773,0.0532208060626938,0.154133517813905,0.0260992137388786,0.123278626674212,0.08832440157199,0.105222649470437,0.0451863202957774,0.115583744358155,0.0447847722112179,0.0359717756341551,BD_immune07_51729
normal_NMPR,NMPR,Tumor_epithelial_AT2,0.0499964272954627,0.105385852090032,0.123567636266732,0.053043086961413,0.0437781350482315,0.064113213351792,0.144726187193326,0.00583279726854369,0.0612381612381613,0.0238844226960271,0.0485209003215434,0.0415724815724816,0.0471061093247589,0.0530296534476599,0.0548749553411932,0.0618774562343695,0.0287383208800609,0.0716148624508753,0.0625062522329404,0.0176810289871376,0.0656913183279743,0.101061093247588,0.0721697774587222,0.0626578880889226,0.0591496963201144,0.106417898782923,0.0941550553769204,0.0249982136477314,0.044231868524473,0.0381119885139986,0.0921043229724902,0.17191675598428,0.093095240886867,0.0569989281886388,0.028206100438153,0.11231868524473,0.0836120042872455,0.015934437309902,0.0590075727381427,0.0949879882844638,0.0829673326443908,0.188855067450709,0.0146337678460583,0.0820474124379048,0.162686673812076,0.0893388282768813,0.047801128624246,0.0997286567842487,0.0303718376089022,0.0418435155412648,BD_immune07_184511
normal_NMPR,NMPR,Tumor_epithelial_AT2,0.0644087173990711,0.104358699535548,0.0879678029914793,0.0539430757115537,0.0494408717399071,0.0590063067220428,0.110365536048044,0.0177952892275719,0.0928436128436129,0.0407326920251863,0.0696409431939978,0.017952497952498,0.0438513754912468,0.0310057163272597,0.0527617006073597,0.054769560557342,0.0487081122264848,0.0694712397284745,0.0478135048231512,0,0.0479564130046445,0.0952608074312255,0.0943036611629576,0.0484479600858911,0.0550768131475528,0.0824458070154248,0.0818185066095034,0.0267202572347267,0.0496695248302965,0.0507860732232591,0.0663129689174705,0.145796713111826,0.026978860110917,0.0219256877456234,0.0404027637344119,0.0818077884958914,0.102481243301179,0.0648191956742142,0.0478278198485452,0.0813769045973607,0.114974451716615,0.130017295053615,0.00496068694392715,0.0819971074640005,0.141120042872455,0.0917336669549059,0.0582117143413116,0.0708566692954433,0.0463307406154887,0.0287781350482315,BD_immune07_416755
normal_NMPR,NMPR,Tumor_epithelial_basal,0.0564380135762772,0.068990710968203,0.088804843217241,0.0363370457869276,0.064898177920686,0.067651130595293,0.0862714972927309,0.0384141966450592,0.11950103950104,0.0456615453196156,0.0372722400857449,0.0725587925587926,0.1109521257592,0.0531046802429439,0.0496766702393712,0.0737995712754556,0.055816948034878,0.0859306895319757,0.066680957484816,0.0545055686803915,0.0346195069667739,0.101616648803144,0.0703535534816941,0.0346603827207276,0.0478045730618077,0.0987090310983538,0.0936423722758127,0.0224473026080743,0.0484673097534834,0.0675071787508973,0.111287959985709,0.206818506609503,0.0795295993621686,0.0440943193997856,0.0816481294236603,0.107738478027867,0.0966684530189353,0.0163737749239608,0.0574697754749568,0.0976898015598776,0.0739680215868642,0.185887236250432,0.0200496585971446,0.0853046594982079,0.0988210075026795,0.132356999613637,0.0509972757345787,0.0761454114480995,0.0468138557418233,0.0513004644515899,BD_immune07_479921
,NMPR,Tumor_epithelial_AT2,0.063356555912826,0.0989138978206502,0.0564233441977738,0.0266902913713578,0.0668381564844588,0.0374480849100138,0.075002516862982,0.031267009748132,0.0756340956340956,0.0278812009584163,0.0488585209003215,0.0473148473148474,0.0602786709539122,0.0598624508753126,0.0489085387638443,0.0561325473383352,0.0709569192520017,0.0677331189710611,0.0864898177920686,0.0379120260996737,0.0651339764201501,0.127663451232583,0.0553266331658292,0.0656380257673361,0.0782154340836013,0.0813942748335666,0.0846212933190426,0.0108360128617363,0.0355734190782422,0.0460445082555635,0.11096463022508,0.180421579135405,0.0633493182004713,0.0241586280814576,0.0425935288169869,0.135235798499464,0.106053947838514,0.0170834741466712,0.0537265842965324,0.0817981373613717,0.0725542542197727,0.110093393289519,0.0122594661700807,0.0992580016349116,0.14063058235084,0.0936010891763104,0.0561077057793345,0.0745904232330388,0.0162809797574762,0.0361200428724544,BD_immune07_842495
normal_NMPR,NMPR,Tumor_epithelial_AT2,0.0544212218649518,0.0997570560914612,0.136362394003375,0.0377995275059062,0.0545641300464451,0.0672435009998462,0.12028854192656,0.0270393141669553,0.0896003696003696,0.027250530624237,0.0688442300821722,0.0377395577395577,0.0576580921757771,0.0479546266523758,0.0687156127188282,0.0764630225080386,0.0437624477029394,0.04843158270811,0.0475526973919257,0.0188997637529531,0.040827081100393,0.109462307967131,0.0594005743000718,0.0459533282809145,0.0438710253662022,0.0830923572083242,0.0765541264737406,0.0108038585209003,0.0547534833869239,0.041383704235463,0.0902483029653448,0.14115219721329,0.0354559204586759,0.0324115755627009,0,0.072427652733119,0.124092533047517,0.017032781345049,0.0647734821309951,0.0898377595682364,0.0555101044896085,0.137689380837081,0.00733757500517274,0.10406841476451,0.151748838871025,0.0935612263045892,0.0457846857365246,0.105714693079189,0.0395751807655764,0.0324115755627009,BD_immune07_849847
