tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
IFN-stimulated,HALLMARK_ESTROGEN_RESPONSE_LATE,0.115409559,0.059124687,0.064703466,0.24043658
IFN-stimulated,HALLMARK_E2F_TARGETS,0.146531091,0.036081636,0.038159164,0.275616355
IFN-stimulated,HALLMARK_IL2_STAT5_SIGNALING,0.142667651,0.106574838,0.112969311,0.275616355
IFN-stimulated,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.148832832,0.261218292,0.26320293,0.275616355
IFN-stimulated,HALLMARK_P53_PATHWAY,0.172931561,0.124575741,0.130733298,0.308806359
IFN-stimulated,HALLMARK_HEDGEHOG_SIGNALING,0.200784133,0.041104174,0.034171448,0.34617954
IFN-stimulated,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.219151985,0.141943366,0.145296514,0.365253308
IFN-stimulated,HALLMARK_ALLOGRAFT_REJECTION,0.299672383,0.175279564,0.174903537,0.483342553
IFN-stimulated,HALLMARK_BILE_ACID_METABOLISM,0.343578205,0.019791615,0.023737877,0.536840945
IFN-stimulated,HALLMARK_UV_RESPONSE_DN,0.397029595,0.044141613,0.041371133,0.601559992
IFN-stimulated,HALLMARK_ANDROGEN_RESPONSE,0.440159677,0.083249629,0.087689359,0.644001659
IFN-stimulated,HALLMARK_SPERMATOGENESIS,0.450801161,0.009308401,0.008708359,0.644001659
IFN-stimulated,HALLMARK_DNA_REPAIR,0.489805916,0.055363285,0.058972739,0.661899886
IFN-stimulated,HALLMARK_MYOGENESIS,0.485254111,0.045518935,0.043269918,0.661899886
IFN-stimulated,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.540395339,0.126294756,0.122055902,0.711046499
IFN-stimulated,HALLMARK_GLYCOLYSIS,0.596152663,0.075351911,0.075014291,0.736455122
IFN-stimulated,HALLMARK_KRAS_SIGNALING_UP,0.6038932,0.091278135,0.090308146,0.736455122
IFN-stimulated,HALLMARK_NOTCH_SIGNALING,0.588095271,0.039781345,0.042135364,0.736455122
IFN-stimulated,HALLMARK_TGF_BETA_SIGNALING,0.622925706,0.121986418,0.125183928,0.741578222
IFN-stimulated,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.67089429,0.03942926,0.039365845,0.780109639
IFN-stimulated,HALLMARK_HEME_METABOLISM,0.707246592,0.048111826,0.048191318,0.803491601
IFN-stimulated,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.723142441,0.153517814,0.157499135,0.803491601
IFN-stimulated,HALLMARK_APICAL_JUNCTION,0.879596355,0.069614148,0.072056985,0.956082995
IFN-stimulated,HALLMARK_HYPOXIA,0.941358412,0.142566988,0.14192926,0.980581679
