cell,CytoTRACE2_Score,CytoTRACE2_Potency,scevan_group,response,cell_type
BD_immune12_168070,0.0893543967617122,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_733221,0.0988203682232428,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_279826,0.518506167281356,Multipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_177874,0.0840620298557482,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_520245,0.152719550978248,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_77527,0.0598520871306107,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_710717,0.191847273779814,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_100057,0.0745509579076285,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_161095,0.52188518560205,Multipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_491052,0.299653098702004,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_776591,0.0839892438774062,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_362818,0.107920519566247,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_163264,0.0850008250342815,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_42156,0.111592693935129,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_22125,0.356000665770291,Oligopotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_823016,0.0796410431218744,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_788790,0.0761811373077224,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_459044,0.140261754436778,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_841420,0.0775438952023982,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_252995,0.0893545232839719,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_198340,0.0706362320182959,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_337109,0.312832152823202,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_330188,0.321235139628751,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_31901,0.0815656664417871,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_490374,0.100361970195124,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_441320,0.0627538553570418,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_580891,0.0722901989962735,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_290654,0.277029933307837,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_704613,0.0697934638008727,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_735652,0.097208434992629,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_33397,0.101193511413966,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_404085,0.0645444520731295,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_201412,0.115524435069511,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_175755,0.0720463791095241,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_194506,0.0990138900368705,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_71475,0.0849920932895564,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_707733,0.0857226316743101,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_590206,0.0636257181573919,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_178912,0.266392553766889,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_715014,0.0771871160327036,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_866755,0.0741892140650282,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_382295,0.148533484862201,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_559186,0.0971093571044932,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_217186,0.100591242952375,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_634107,0.0913737854289556,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_479122,0.235779471467278,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_410750,0.130331482203477,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_282576,0.112404700492661,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_862176,0.0587493041497463,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_649951,0.119601571923249,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_298107,0.398269617825952,Oligopotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_741106,0.0693560256972558,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_293163,0.0724042747543603,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_340504,0.211798152474971,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_66411,0.391800965451433,Oligopotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_826403,0.0658836468295852,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_247982,0.0851337117152439,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_347497,0.0171300094161423,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_653652,0.0824123460268141,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_664229,0.323595287097629,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_140489,0.0498348613769405,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_326243,0.113213529032383,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_738628,0.076623146800828,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_770597,0.0772962044193953,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_435307,0.0767204258613004,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_794646,0.0519845586358275,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_668902,0.079779429251444,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_419699,0.0869116987173854,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_492140,0.0779842687081238,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_90973,0.0780118095933647,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_487429,0.0793649135572679,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_552175,0.0463870821802091,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_14151,0.00909707806815461,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_570263,0.102367745093653,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_112581,0.072416830101155,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_373941,0.0651909474665492,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_332934,0.112120152231696,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_241771,0.0977138452033773,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_156369,0.0325934299499666,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_432275,0.0868164441114673,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_707488,0.0471022708366475,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_609137,0.101981765222893,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_853340,0.0996679011361066,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_772414,0.0398869829247865,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_304374,0.052718004691345,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_279818,0.230240929482891,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_605279,0.0577981497690725,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_592078,0.0248082517126103,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_809503,0.0586456587877787,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_345386,0.110871493488546,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_309610,0.0953102182832521,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_115619,0.118294001506991,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_87408,0.0718775773226395,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_556316,0.0770586650516265,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_474762,0.0790070077412641,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_75933,0.0661147359724268,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_157214,0.0898507103550531,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_161584,0.0798353723636118,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_469852,0.102578061036839,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_483787,0.0208828613813832,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_219382,0.116002866772442,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_65192,0.0927437503370557,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_700435,0.0934999223963547,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_847763,0.0233297744855385,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_386232,0.110523780325776,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_136734,0.065431806679914,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_226525,0.0995768478400342,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_883714,0.108096982103292,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_508351,0.0668206925606781,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_485318,0.062254415581573,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_255726,0.082001154826902,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_513932,0.0205308721861966,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_68456,0.125944720221194,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_472802,0.0949938301565712,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_519966,0.0970614199646838,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_602666,0.0429910297791844,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_332776,0.122759198904413,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_672441,0.0745156611177559,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_832822,0.0123468042715498,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_832170,0.0813508637944589,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_55196,0.126067704027999,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_142048,0.0465221419585909,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_643736,0.31712634142093,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_306885,0.0155828711759233,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_184681,0.0962212265600136,Differentiated,Ciliated,NMPR,Ciliated_epithelial
