source,tam_state,response,mean_activity
MYC,Classical-Mono,pCR,19.2914196188688
MYC,IFN-stimulated,MPR,20.136194329353
MYC,IFN-stimulated,non-MPR,20.5890307088044
MYC,IFN-stimulated,pCR,20.3704458156289
MYC,LAMs,MPR,18.1855021973716
MYC,LAMs,non-MPR,19.2621025477575
MYC,LAMs,pCR,18.3648073724834
MYC,Monocyte FCN1+,MPR,21.0006862032934
MYC,Monocyte FCN1+,non-MPR,21.616773721933
MYC,Monocyte FCN1+,pCR,21.2214678807376
MYC,Proliferating,MPR,19.4416648581525
MYC,Proliferating,non-MPR,20.8840471845323
MYC,Proliferating,pCR,22.7682784506623
MYC,Resident M2,MPR,19.3006084496059
MYC,Resident M2,non-MPR,20.5968129321132
MYC,Resident M2,pCR,20.5862368391749
MYC,Stress-response,MPR,19.5176638085174
MYC,Stress-response,non-MPR,21.8391159776972
MYC,Stress-response,pCR,22.1553911442649
NFKB,Classical-Mono,MPR,13.362941621825
NFKB,Classical-Mono,non-MPR,14.3713582856749
NFKB,Classical-Mono,pCR,12.3122516731607
NFKB,IFN-stimulated,MPR,15.7396396349985
NFKB,IFN-stimulated,non-MPR,17.8673133354851
NFKB,IFN-stimulated,pCR,16.0886578763835
NFKB,LAMs,MPR,11.5552731761445
NFKB,LAMs,non-MPR,13.7312598225259
NFKB,LAMs,pCR,10.6244426057091
NFKB,Monocyte FCN1+,MPR,15.7601352154984
NFKB,Monocyte FCN1+,non-MPR,16.7804411966324
NFKB,Monocyte FCN1+,pCR,16.1020528144008
NFKB,Proliferating,MPR,12.5007451186546
NFKB,Proliferating,non-MPR,15.34679047466
NFKB,Proliferating,pCR,14.1226221253575
NFKB,Resident M2,MPR,14.9689918469037
NFKB,Resident M2,non-MPR,18.3110948478812
NFKB,Resident M2,pCR,16.8678150417305
NFKB,Stress-response,MPR,13.5198900850786
NFKB,Stress-response,non-MPR,16.0253913278452
NFKB,Stress-response,pCR,15.7568259832848
NFKB1,Classical-Mono,MPR,9.02017415972406
NFKB1,Classical-Mono,non-MPR,10.338437230657
NFKB1,Classical-Mono,pCR,8.66166913989879
NFKB1,IFN-stimulated,MPR,11.8815140408847
NFKB1,IFN-stimulated,non-MPR,14.5510837843718
NFKB1,IFN-stimulated,pCR,12.398549002793
NFKB1,LAMs,MPR,8.01152571186108
NFKB1,LAMs,non-MPR,10.0656726238129
NFKB1,LAMs,pCR,7.27528416030749
NFKB1,Monocyte FCN1+,MPR,11.4134277094424
NFKB1,Monocyte FCN1+,non-MPR,12.775527365939
NFKB1,Monocyte FCN1+,pCR,11.558501325186
NFKB1,Proliferating,MPR,9.35343041758714
NFKB1,Proliferating,non-MPR,11.7602728715905
NFKB1,Proliferating,pCR,9.92970128866461
NFKB1,Resident M2,MPR,10.969734704033
NFKB1,Resident M2,non-MPR,14.5178640864144
NFKB1,Resident M2,pCR,12.8237154407158
NFKB1,Stress-response,MPR,9.71096669270614
NFKB1,Stress-response,non-MPR,12.289883484924
NFKB1,Stress-response,pCR,11.8969813319748
NFKBIB,Classical-Mono,MPR,2.55980700678116
NFKBIB,Classical-Mono,non-MPR,2.97864396156177
NFKBIB,Classical-Mono,pCR,2.50413040526277
NFKBIB,IFN-stimulated,MPR,4.17950707971604
NFKBIB,IFN-stimulated,non-MPR,4.63518507603122
NFKBIB,IFN-stimulated,pCR,3.57974184170796
NFKBIB,LAMs,MPR,1.73946338388452
NFKBIB,LAMs,non-MPR,3.0602197482802
NFKBIB,LAMs,pCR,1.65919967298482
NFKBIB,Monocyte FCN1+,MPR,4.20357794002445
NFKBIB,Monocyte FCN1+,non-MPR,4.77205427677717
NFKBIB,Monocyte FCN1+,pCR,4.21435494725858
NFKBIB,Proliferating,MPR,2.79773057835804
NFKBIB,Proliferating,non-MPR,4.1281467252724
NFKBIB,Proliferating,pCR,2.42410501655734
NFKBIB,Resident M2,MPR,4.08877786786738
NFKBIB,Resident M2,non-MPR,5.51893124593975
NFKBIB,Resident M2,pCR,4.92173905236273
NFKBIB,Stress-response,MPR,2.90148343766901
NFKBIB,Stress-response,non-MPR,3.93910233821975
