tam_state,source,p_value,median_MPR,median_nonMPR,p_adj
Resident M2,STAT1,2.17376762801429e-39,9.716701878,11.75672521,6.21076465146941e-39
Resident M2,EGR1,6.90831380822835e-38,7.721244641,9.810194281,1.72707845205709e-37
Resident M2,STAT3,2.16100951380337e-34,8.662874918,10.72855647,4.80224336400748e-34
Resident M2,CREB1,4.35610692262233e-34,10.44231023,12.33807772,8.71221384524466e-34
Resident M2,JUN,1.58345195449522e-32,14.09103339,16.41844486,2.87900355362768e-32
Resident M2,AP1,7.05976241843117e-27,10.79908068,12.3249952,1.17662706973853e-26
Resident M2,IRF1,9.16268495608078e-27,7.760984036,9.335277949,1.40964383939704e-26
Resident M2,REL,1.66479196508983e-22,11.46261754,13.70213992,2.37827423584261e-22
Resident M2,SPI1,5.06367094108033e-19,11.55330642,13.01250408,6.75156125477377e-19
Resident M2,DDIT3,4.0004886959447e-16,8.400128754,9.630559459,5.00061086993087e-16
Resident M2,RFXANK,0.002831697,18.61188354,17.78022595,0.003331408
Resident M2,RFX5,0.00310082,16.599566,15.83556305,0.003445356
Resident M2,RFXAP,0.003565588,19.89618237,19.09175429,0.00375325
Resident M2,CIITA,0.894822793,14.87769573,14.96652433,0.894822793
Stress-response,HIF1A,7.34672410204297e-18,11.18448029,13.67535232,1.46934482040859e-16
Stress-response,HSF1,5.06204383674654e-16,8.386098705,12.59082483,5.06204383674654e-15
Stress-response,NFKB1,7.7877707094184e-13,9.822370914,12.2491706,4.16369162513863e-12
Stress-response,HSF2,8.32738325027726e-13,6.721943229,9.683880466,4.16369162513863e-12
Stress-response,RELA,3.01644639056818e-12,11.22229326,13.87980325,8.61841825876621e-12
Stress-response,NFKB,2.77968566157971e-12,13.02266483,16.02805424,8.61841825876621e-12
Stress-response,AP1,2.52643481616345e-12,9.373708398,11.32252411,8.61841825876621e-12
Stress-response,STAT3,7.8161420603218e-12,8.13072044,10.09824793,1.95403551508045e-11
Stress-response,IRF1,1.68607157150061e-11,6.428617052,8.36662665,3.74682571444581e-11
Stress-response,STAT1,3.43871185968807e-11,7.362710607,9.799179654,6.50590507904444e-11
Stress-response,JUN,3.90354304742667e-11,13.28515932,15.62425243,6.50590507904444e-11
Stress-response,CREB1,3.6591836163142e-11,8.691818445,10.40668788,6.50590507904444e-11
Stress-response,EGR1,3.08032270517667e-10,6.609428905,8.420444185,4.7389580079641e-10
Stress-response,SPI1,8.1684575159282e-10,9.410672506,11.65510884,1.16692250227546e-09
Stress-response,REL,1.31020634679369e-08,9.316303275,11.46592452,1.74694179572491e-08
Stress-response,DDIT3,5.1379979371029e-05,7.139576905,8.053820471,6.42249742137863e-05
Stress-response,CIITA,0.100912953,12.12727511,12.75372033,0.118721121
Stress-response,RFX5,0.4907211,12.4505593,12.89525009,0.545245667
Stress-response,RFXAP,0.78262907,15.09296207,15.57461957,0.823820073
Stress-response,RFXANK,0.912550466,14.3800055,14.44285936,0.912550466
