source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.EM,Inflammatory Mono-derived,CCL5,CCR1,0.026244240666472,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,Inflammatory Mono-derived,CCL5,CCR1,0.0192439158499441,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.NaiveLike,Inflammatory Mono-derived,CCL5,CCR1,0.00539116821964967,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,Inflammatory Mono-derived,CCL5,CCR1,0.0255851933365414,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Inflammatory Mono-derived,CCL5,CCR1,0.0278002909509214,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,Inflammatory Mono-derived,CCL5,CCR1,0.0232771590569457,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Inflammatory Mono-derived,CCL5,CCR1,0.00109411563776261,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,Inflammatory Mono-derived,CCL5,CCR1,0.00285574748798604,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Inflammatory Mono-derived,CCL5,CCR1,0.00913956896212052,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.CM,Resident M2,CCL5,CCR1,0.0281140286290521,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.EM,Resident M2,CCL5,CCR1,0.0298060596529352,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,Resident M2,CCL5,CCR1,0.0218770088079146,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.NaiveLike,Resident M2,CCL5,CCR1,0.00614069484803625,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,Resident M2,CCL5,CCR1,0.0290602369967224,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Resident M2,CCL5,CCR1,0.0315664481517245,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,Resident M2,CCL5,CCR1,0.0264472282882593,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Resident M2,CCL5,CCR1,0.00124697801414996,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,Resident M2,CCL5,CCR1,0.00325393130917186,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Resident M2,CCL5,CCR1,0.0104047788537692,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,IFN-stimulated,CCL3,CCR1,0.000468911419560499,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,IFN-stimulated,CCL3,CCR1,0.000748582039945089,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,IFN-stimulated,CCL3,CCR1,0.000592184153497299,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,IFN-stimulated,CCL3,CCR1,0.0014033852995927,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,IFN-stimulated,CCL3,CCR1,0.00228225666078167,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,IFN-stimulated,CCL3,CCR1,0.00190596921491519,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,IFN-stimulated,CCL3,CCR1,0.000626742401265595,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,IFN-stimulated,CCL3,CCR1,0.000802723574675352,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,IFN-stimulated,CCL3,CCR1,0.00364292642894668,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Stress-response,IFN-stimulated,CCL3,CCR1,0.000838486500867284,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,Inflammatory Mono-derived,CCL3,CCR1,0.00193824824379575,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Inflammatory Mono-derived,CCL3,CCR1,0.00309155792084695,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,Inflammatory Mono-derived,CCL3,CCR1,0.0024468512465509,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,Inflammatory Mono-derived,CCL3,CCR1,0.00578395737654729,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Inflammatory Mono-derived,CCL3,CCR1,0.00938039635603633,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,Inflammatory Mono-derived,CCL3,CCR1,0.00784300166497365,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,Inflammatory Mono-derived,CCL3,CCR1,0.00258936237266782,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Inflammatory Mono-derived,CCL3,CCR1,0.00331459414496311,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,Inflammatory Mono-derived,CCL3,CCR1,0.0149097004541353,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Stress-response,Inflammatory Mono-derived,CCL3,CCR1,0.0034618781574979,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,Resident M2,CCL3,CCR1,0.00220878629021036,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Resident M2,CCL3,CCR1,0.00352250521415028,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,Resident M2,CCL3,CCR1,0.00278818108875778,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,Resident M2,CCL3,CCR1,0.00658773123683133,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Resident M2,CCL3,CCR1,0.0106785852049155,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,Resident M2,CCL3,CCR1,0.0089303426603646,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,Resident M2,CCL3,CCR1,0.00295051337298996,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Resident M2,CCL3,CCR1,0.00377651376588726,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,Resident M2,CCL3,CCR1,0.0169600097407876,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Stress-response,Resident M2,CCL3,CCR1,0.00394424195342067,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.EM,IFN-stimulated,CCL3L1,CCR1,0.000482281465184538,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,IFN-stimulated,CCL3L1,CCR1,0.000445604078711365,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,IFN-stimulated,CCL3L1,CCR1,0.0004191356947779,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,IFN-stimulated,CCL3L1,CCR1,0.000625653399686679,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,IFN-stimulated,CCL3L1,CCR1,0.00145380631255769,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,IFN-stimulated,CCL3L1,CCR1,0.000510774061991152,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,IFN-stimulated,CCL3L1,CCR1,0.000710155008544809,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,IFN-stimulated,CCL3L1,CCR1,0.00250933960840221,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.EM,Inflammatory Mono-derived,CCL3L1,CCR1,0.00199342985565154,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,Inflammatory Mono-derived,CCL3L1,CCR1,0.00184204180093012,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Inflammatory Mono-derived,CCL3L1,CCR1,0.00173277036990422,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,Inflammatory Mono-derived,CCL3L1,CCR1,0.00258487202447283,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Inflammatory Mono-derived,CCL3L1,CCR1,0.00599081996852718,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,Inflammatory Mono-derived,CCL3L1,CCR1,0.00211101068874577,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Inflammatory Mono-derived,CCL3L1,CCR1,0.00293321173899845,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,Inflammatory Mono-derived,CCL3L1,CCR1,0.0103064435788336,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
