source,target,ligand,receptor,p_value,median_MPR,median_nonMPR,n_MPR,n_nonMPR,p_adj
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD52,SIGLEC10,0.0199666381450811,0,0.654454095496832,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,LGALS9,HAVCR2,0.0203324497380672,0.387036965480747,0.708723100470739,7,36,0.410415729709076
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HMGB1,TLR2,0.0178111515488139,0.164533802983293,1.44914183995747,7,36,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,CD80,CTLA4,0.0221185518460187,0.0588301237301239,0.231034680094666,9,38,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,CXCL10,CXCR3,0.0306326524814746,0,0.416779444342962,7,36,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,ADAM10,CD44,0.0368743816280516,1.17117807204058,0.634904568513845,7,37,0.424330570675042
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,TNFSF13,FAS,0.036679631940642,0.189240444973204,0.399961083468104,7,36,0.424330570675042
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.0395113627002521,0.151900357594588,0.757673515697797,7,36,0.429060009040765
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,NECTIN2,TIGIT,0.0395113627002521,0.151900357594588,0.757673515697797,7,36,0.429060009040765
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,TGFB1,CXCR4,0.0380341439615404,3.90889274203451,2.79607097568367,7,37,0.429060009040765
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQB2,LAG3,0.0384131223099111,0.134447798861533,0.306128762953436,9,38,0.429060009040765
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,LGALS3,LAG3,0.0411882852698448,2.19176379348293,2.97783043373317,7,36,0.429137404635816
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DPA1,LAG3,0.0400812788583686,2.34915660626237,4.50355812828586,7,31,0.429137404635816
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,CD80,CTLA4,0.0407412298311325,0.0595344604672227,0.214974813886406,9,39,0.429137404635816
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DPB1,LAG3,0.042571994568712,3.40091121882439,4.4340614595576,9,38,0.437640104166359
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DRB1,LAG3,0.0432200465329349,2.72971252165107,4.15129823106656,7,37,0.438455998380168
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,RETN,GPR25,0.0445731417075379,0,0.0914311029880381,7,36,0.441344644118227
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),B2M,LILRB1,0.0446496527123498,0.714292120727658,3.31448873754437,7,37,0.441344644118227
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,RETN,GPR25,0.0462843904342409,0,0.160045870150589,7,36,0.451712215503794
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,SPP1,ITGA4_ITGB1,0.047436150394623,0.15039385610927,0.720683132126279,10,40,0.451839850024695
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DRA,LAG3,0.0486416440363809,3.90155453387506,5.32901698509203,7,31,0.451839850024695
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-B,LILRB1,0.0481759490920432,0.594734508359066,2.77789811386755,7,37,0.451839850024695
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TNFSF14,LTBR,0.0479368212370059,0,0.118351676079437,7,37,0.451839850024695
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),B2M,LILRB1,0.0501261476652617,0.733822129774589,3.6262452456924,7,36,0.460086426784724
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,SPP1,ITGA4_ITGB1,0.051160241447465,0.380250296787032,1.01792641881331,10,39,0.464053484188182
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DRA,LAG3,0.0521397900219274,2.78689819276257,4.63707289546769,9,39,0.467439280312861
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-A,CD8A,0.0535875991566922,7.3798127878222,8.06495630171387,10,39,0.467560062490681
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,NECTIN2,CD96,0.0539725623367971,0.357430158179895,0.921559634285576,7,36,0.467560062490681
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,NECTIN2,CD96,0.0539020934891742,0.257365519764603,0.838894937557159,7,37,0.467560062490681
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,0.0622324197851425,0,0.376200199945804,7,36,0.477480099347763
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DPB1,LAG3,0.0588737618444387,2.37884016664421,3.39423673730648,9,39,0.477480099347763
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,SPP1,CD44,0.0607094230991755,0.56420139907109,1.48535067043758,10,39,0.477480099347763
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DRB1,LAG3,0.0585962757015389,3.38726621821696,5.13254770345593,7,31,0.477480099347763
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,SDC4,0.0586392697415521,0.0479580862460193,0.271691696933481,7,37,0.477480099347763
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,LGALS3,LAG3,0.0601310270254944,1.49233372899469,2.21471038954653,10,40,0.477480099347763
CD8.TPEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CRTAM,CADM1,0.0591988910221399,0.0508411395239786,0.115861794168942,9,39,0.477480099347763
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,CADM1,CRTAM,0.0591988910221399,0.0508411395239786,0.115861794168942,9,39,0.477480099347763
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,LGALS9,PTPRC,0.0625492737148173,1.44342120481461,2.58579190776077,7,37,0.477480099347763
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-A,CD8A,0.0560508668545918,6.39084211648617,7.28215486760508,10,40,0.477480099347763
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-C,LILRB1,0.0601855339020141,0.494245880632186,2.41162844575304,7,37,0.477480099347763
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),GZMB,IGF2R,0.0625107264000563,0.503182198015379,0.990252366996055,7,36,0.477480099347763
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DQB1,LAG3,0.0639626457857108,2.49403535009506,2.93336514765899,10,39,0.478788348551292
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,CCL20,CXCR3,0.0635888405417688,0.0905184847328966,0.156712828133293,9,39,0.478788348551292
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB1,0.0647029586010498,0.549587570182201,2.61229797409908,7,37,0.479672895013552
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CIRBP,TREM1,0.0663808311092181,0.836532532073241,1.27908208537081,9,39,0.487424959859116
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DPA1,LAG3,0.067439113242903,3.5766459135891,4.38002891884588,9,38,0.4905241161347
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CCL13,CXCR3,0.0685450726565644,0,0,7,36,0.493908888020665
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),TNFSF9,HLA-DPA1,0.0695651487073619,1.10613648671976,1.94405277804308,7,32,0.496617867160889
